,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
0,11082,Aetna Life Insurance Company,AK,N/E,$-,"($1,188,058.34)"
1,38344,Premera Blue Cross,AK,"$5,758,679.10","$11,418,310.79","$4,017,476.01"
2,73836,Moda Health Plan Inc,AK,"$8,987,021.64","($11,418,310.77)","($2,026,261.96)"
3,80049,UnitedHealthcare Insurance Company,AK,N/E,$-,"($803,155.69)"
4,44580,Humana Insurance Company,AL,"$2,298,478.10","($13,518,890.18)",$-
5,44902,Federated Mutual Insurance Company,AL,N/E,$-,"($32,889.86)"
6,46944,Blue Cross and Blue Shield of Alabama,AL,"$48,065,429.70","$24,939,398.79","$2,294,842.22"
7,59809,UnitedHealthcare Life Insurance Company,AL,"$111,220.27","($959,823.85)",$-
8,68259,"UnitedHealthcare of Alabama, Inc.",AL,"$8,739,396.74","($10,457,177.89)","($1,064,013.58)"
9,69461,UnitedHealthcare Insurance Company,AL,N/E,$-,"($51,436.04)"
10,93018,"Viva Health, Inc.",AL,N/E,$-,"($1,146,502.70)"
11,93122,Freedom Life Insurance Company of America,AL,$0.00,"($3,506.92)",$-
12,13262,USAble Mutual Insurance Company,AR,N/E,$-,"($32,736.62)"
13,22732,UnitedHealthcare Insurance Company of the River Valley,AR,N/E,$-,"$56,688.96"
14,37903,"Qualchoice Life and Health Insurance Company, INC",AR,"$5,901,467.15","$6,169,439.47","($135,289.79)"
15,53135,UnitedHealthcare Life Insurance Company,AR,"$314,611.24","($189,796.85)",$-
16,60079,Coventry Health and Life,AR,$0.00,"($12,964.94)","($17,774.27)"
17,61273,Freedom Life Insurance Company of America,AR,$0.00,"$8,241.41",$-
18,62141,Celtic Insurance Company,AR,"$4,667,143.01","($3,996,497.96)",$-
19,65817,"UnitedHealthcare of Arkansas, Inc.",AR,"$878,465.85","($3,066,401.15)","($602,953.44)"
20,70525,QCA Health Plan INC,AR,"$5,970,119.58","$2,856,187.95","($59,363.91)"
21,75293,USAble Mutual Insurance Company,AR,"$37,164,216.31","($1,661,548.73)","$1,799,059.63"
22,81392,UnitedHealthcare Insurance Company,AR,N/E,$-,"($633,751.37)"
23,89365,Federated Mutual Insurance Company,AR,N/E,$-,"($373,879.22)"
24,99685,Humana Insurance Company,AR,$0.00,"($106,659.16)",$-
25,23307,"Humana Health Plan, Inc.",AZ,"$2,289,096.26","$6,251,937.97","($6,031,056.26)"
26,40702,"UnitedHealthcare of Arizona, Inc.",AZ,N/E,$-,"($1,413,358.56)"
27,51485,Health Net Life Insurance Company,AZ,"$2,433,371.07","$5,075,983.13","$6,396,214.81"
28,53901,Blue Cross Blue Shield of Arizona,AZ,"$27,506,938.31","$29,716,531.05","($1,968,495.77)"
29,65441,"Phoenix Health Plans, Inc.",AZ,"$1,783,346.46","($32,866,201.10)",$-
30,66105,Humana Insurance Company,AZ,"$2,656,508.48","($1,311,469.26)","($1,065,223.04)"
31,70239,Health Choice Insurance Co,AZ,"$3,438,514.98","($9,159,037.15)",$-
32,70904,WMI Mutual Insurance Company,AZ,N/E,$-,"($59,130.69)"
33,75849,Freedom Life Insurance Company of America,AZ,$0.00,($175.68),$-
34,78611,Aetna Health Inc. (a PA corp.),AZ,"$1,544,043.36","($8,516,682.29)","($7,293.51)"
35,82011,UnitedHealthcare Insurance Company,AZ,N/E,$-,"$5,204,264.49"
36,84251,Aetna Life Insurance Company,AZ,$0.00,"$41,466.11","$1,799,959.40"
37,86830,Cigna Health and Life Insurance Company,AZ,"$576,234.39","$1,169,118.87","$28,617.42"
38,90169,UnitedHealthcare Life Insurance Company,AZ,"$822,635.08","($819,920.79)",$-
39,91450,"Health Net of Arizona, Inc.",AZ,"$4,433,397.90","$9,901,556.20","($2,809,420.30)"
40,97667,"Cigna HealthCare of Arizona, Inc",AZ,"$1,135,299.23","($1,946,342.41)","($107,879.38)"
41,98971,All Savers Insurance Company,AZ,"$13,230,750.73","$2,463,235.36","$32,801.56"
42,10544,Oscar Health Plan of California,CA,"$270,244.26","($4,894,494.13)",$-
43,18126,Molina Healthcare of California,CA,"$3,087,612.70","($106,521,339.27)",$-
44,20523,Aetna Health of California Inc.,CA,N/E,$-,"($30,584,653.01)"
45,27330,Kaiser Permanente Insurance Company,CA,N/E,$-,"($331,349.12)"
46,27603,Blue Cross of California(Anthem BC),CA,"$210,252,593.47","$49,496,966.88","$216,503,893.64"
47,37873,UnitedHealthcare Benefits Plan of California,CA,"$790,860.23","$425,818.57",$-
48,40025,Cigna Health and Life Insurance Company,CA,"$7,651,494.69","$6,391,520.32",$-
49,40513,"Kaiser Foundation Health Plan, Inc.",CA,"$99,483,995.87","($182,807,948.20)","($254,946,663.78)"
50,40733,Aetna Life Insurance Company,CA,N/E,$-,"$22,400,144.48"
51,47579,Chinese Community Health Plan,CA,"$2,031,826.13","($24,844,080.41)","($2,248,025.07)"
52,49116,UHC of California,CA,N/E,$-,"($15,840,917.19)"
53,56887,Ventura County Health Care Plan,CA,N/E,$-,"$274,684.29"
54,64210,Sutter Health Plan,CA,"$404,789.48","$52,744.83","($12,698,603.21)"
55,64618,National Health Insurance Company,CA,N/E,$-,"$270,905.91"
56,67138,"Health Net of California, Inc.",CA,"$24,670,172.12","($53,862,013.99)","($41,807,057.69)"
57,70285,CA Physician's Service dba Blue Shield of CA,CA,"$200,597,192.85","$265,442,825.10","$105,943,814.59"
58,84014,Valley Health Plan,CA,"$315,872.69","($2,983,496.65)",$-
59,92499,Sharp Health Plan,CA,"$6,648,728.33","$5,351,707.64","($9,546,508.28)"
60,92815,Local Initiative Health Authority for Los Angeles County,CA,"$24,557.63","($12,354,890.24)",$-
61,93689,Western Health Advantage,CA,"$3,454,688.21","($4,446,832.83)","$2,191,329.00"
62,95677,UnitedHealthcare Insurance Company,CA,N/E,$-,"($6,770,926.79)"
63,99110,Health Net Life Insurance Company,CA,"$23,086,888.56","$65,553,512.41","$27,189,932.09"
64,21032,Kaiser Foundation Health Plan of Colorado,CO,"$16,419,013.45","($59,023,683.88)","($3,316,114.09)"
65,28700,Freedom Life Insurance Company of America,CO,"$189,050.16","$530,940.43",$-
66,35944,Kaiser Permanente Insurance Company,CO,N/E,$-,"($169,078.93)"
67,39041,Aetna Life Insurance Company,CO,N/E,$-,"($394,940.49)"
68,41341,Golden Rule Insurance Company,CO,"$798,771.78","($2,721,557.27)",$-
69,49375,Cigna Health and Life Insurance Company,CO,"$6,707,081.89","$1,238,103.55",$-
70,59036,"UnitedHealthcare of Colorado, Inc.",CO,"$1,537,280.69","$6,746,077.39","($8,152,391.81)"
71,63312,Colorado Choice Health Plans,CO,"$3,886,517.25","($2,794,252.54)","$28,711.53"
72,66699,"Denver Health Medical Plan, Inc.",CO,"$297,354.64","$2,810,015.23",$-
73,67879,UnitedHealthcare Insurance Company,CO,N/E,$-,"$18,066,220.34"
74,74320,Humana Health Plan,CO,"$4,384,982.12","$19,133,063.67","($1,635,879.75)"
75,76680,HMO Colorado Inc(Anthem BCBS),CO,"$6,296,226.19","($22,957,774.05)","($5,766,680.60)"
76,79509,Humana Insurance Company,CO,"$164,260.09","$719,860.70","$621,087.18"
77,80208,Rocky Mountain HealthCare Options Inc,CO,N/E,$-,"$2,715,286.61"
78,87269,Rocky Mountain Hos&Med Svc(Anthem BCBS),CO,"$27,109,001.49","$43,292,191.96","$947,344.48"
79,92137,All Savers Insurance Company,CO,"$129,784.97","$939,139.28",$-
80,92291,UnitedHealthcare Life Insurance Company,CO,"$1,059,369.38","$1,604,316.11",$-
81,97879,Rocky Mountain Health Maintenance Organization Inc,CO,"$8,180,224.47","$10,483,559.33","($2,943,564.31)"
82,29462,"Oxford Health Insurance, Inc.",CT,N/E,$-,"$6,196,764.55"
83,39159,Aetna Life Insurance Company,CT,"$1,447,448.75","$789,659.17","$5,293,151.42"
84,40591,Golden Rule Insurance Company,CT,"$721,248.97","($418,099.60)",$-
85,49650,UnitedHealthcare Insurance Company,CT,"$1,599,327.73","$2,483,964.33","($125,543.67)"
86,71179,"Oxford Health Plans (CT), Inc.",CT,N/E,$-,"($59,675.40)"
87,75091,"ConnectiCare, Inc.",CT,"$49,691.37","($1,145,321.71)","($266,957.78)"
88,76962,"ConnectiCare Benefits, Inc.",CT,"$14,049,522.77","($1,673,116.38)",$-
89,85732,UnitedHealthcare Life Insurance Company,CT,"$518,105.55","$810,976.08",$-
90,86545,Anthem Health Plans Inc(Anthem BCBS),CT,"$20,499,214.04","$24,193,391.03","$14,278,900.63"
91,87354,Cigna Health and Life Insurance Company,CT,"$535,710.84","$1,027,304.78",$-
92,89130,"HPHC Insurance Company, Inc.",CT,N/E,$-,"($14,809,373.05)"
93,91069,"HealthyCT, Inc.",CT,"$6,340,096.71","($745,863.30)","($7,270,795.39)"
94,94815,"ConnectiCare Insurance Company, Inc.",CT,"$11,523,325.35","($25,322,894.30)","($3,713,490.75)"
95,95882,"Harvard Pilgrim Health Care of Connecticut, Inc.",CT,N/E,$-,"$477,019.49"
96,21066,"UnitedHealthcare of the Mid-Atlantic, Inc.",DC,N/E,$-,"($208,559.67)"
97,41842,UnitedHealthcare Insurance Company,DC,N/E,$-,"($2,167,698.98)"
98,73987,Aetna Health Inc. (a PA corp.),DC,N/E,$-,"($521,995.34)"
99,75753,"Optimum Choice, Inc.",DC,N/E,$-,"$308,133.57"
100,77422,Aetna Life Insurance Company,DC,N/E,$-,"($278,383.82)"
101,78079,Group Hospitalization and Medical Services,DC,"$2,918,352.18","$9,810,171.94","$16,753,749.82"
102,86052,CareFirst BlueChoice,DC,"$1,167,287.99","($7,984,910.32)","($12,225,393.95)"
103,94506,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",DC,"$152,397.44","($1,825,261.64)","($1,659,851.69)"
104,29497,Aetna Life Insurance Company,DE,"$1,002,995.37","($617,987.08)","($609,891.66)"
105,61021,UnitedHealthcare Insurance Company,DE,N/E,$-,"($235,174.40)"
106,67190,Aetna Health Inc. (a PA corp.),DE,"$343,162.44","($1,048,438.16)","$89,309.00"
107,76168,Highmark BCBSD Inc.,DE,"$11,767,372.01","$1,665,503.00","$768,074.20"
108,81914,"Coventry Health Care of Delaware, Inc.",DE,$0.00,$-,"$31,586.04"
109,89587,Golden Rule Insurance Company,DE,"$42,201.07",$922.26,$-
110,97569,"Optimum Choice, Inc.",DE,N/E,$-,"($43,903.22)"
111,16842,Blue Cross Blue Shield of FL Inc.,FL,"$126,761,966.46","$464,434,259.85","$24,467,625.00"
112,17341,UnitedHealthcare Life Insurance Company,FL,"$6,190,397.67","$3,944,039.65",$-
113,18628,Aetna Health Inc. (a FL corp.),FL,"$6,467,391.19","($19,679,828.24)","$6,118,081.67"
114,19898,"AvMed, Inc",FL,"$4,504,028.34","($5,705,014.67)","($7,819,786.24)"
115,21663,Celtic Insurance Company,FL,"$7,217,586.61","($160,888,837.15)",$-
116,23841,Aetna Life Insurance Company,FL,"$184,616.94","($1,657,914.80)","$2,505,152.50"
117,27357,Health First Health Plans,FL,"$3,159,908.04","$1,792,502.93","($1,024,411.33)"
118,30252,"Health Options, Inc.",FL,"$38,308,523.89","($6,728,057.44)","($14,039,797.34)"
119,35783,"Humana Medical Plan, Inc.",FL,"$73,556,881.87","($1,588,085.51)","($8,475,356.54)"
120,40442,Freedom Life Insurance Company of America,FL,"$92,026.59","$173,446.74",$-
121,42204,All Savers Insurance Company,FL,N/E,$-,"($130,253.39)"
122,43839,UnitedHealthcare Insurance Company,FL,N/E,$-,"$5,443,321.07"
123,48121,Cigna Health and Life Insurance Company,FL,"$4,687,309.64","$11,336,832.52",$-
124,54172,"Molina Healthcare of Florida, Inc.",FL,"$25,476,629.62","($252,569,063.08)",$-
125,56503,"Florida Health Care Plan, Inc",FL,"$3,533,832.47","($11,167,504.61)","($790,753.33)"
126,57451,"Coventry Health Care of Florida, Inc.",FL,"$28,788,522.60","($112,203,006.16)","($13,019.42)"
127,66966,Capital Health Plan,FL,N/E,$-,"$1,417,443.48"
128,68398,"UnitedHealthcare of Florida, Inc.",FL,"$35,522,703.08","$93,698,886.73","($6,990,459.62)"
129,77150,Health First Insurance,FL,$0.00,$-,"($315,764.28)"
130,80779,"Neighborhood Health Partnership, Inc.",FL,N/E,$-,"($241,201.26)"
131,83883,Florida Health Solution HMO Company,FL,$0.00,"($247,811.02)",$-
132,99308,"Humana Health Insurance Co of FL, Inc.",FL,"$380,796.07","($2,944,845.74)","($110,820.97)"
133,12442,Nippon Life Insurance Company of America,GA,N/E,$-,"$63,937.58"
