MR_SUBMISSION_TEMPLATE_ID,TAX_RATE,CREATED_DATE
133675,,"2016-07-01 18:21:10"
133676,,"2016-07-01 18:21:13"
133677,,"2016-07-01 18:21:18"
133678,,"2016-07-01 18:21:21"
133679,,"2016-07-01 18:21:25"
133680,,"2016-07-01 18:21:28"
133681,,"2016-07-01 18:21:31"
133682,,"2016-07-01 18:21:35"
133683,,"2016-07-01 18:21:39"
133684,,"2016-07-01 18:21:42"
133685,,"2016-07-01 18:21:45"
133686,,"2016-07-01 18:21:48"
133687,,"2016-07-01 18:21:51"
133688,,"2016-07-01 18:21:55"
133689,,"2016-07-01 18:21:59"
133838,,"2016-07-05 14:02:09"
133839,,"2016-07-05 14:02:13"
133916,,"2016-07-05 17:35:09"
133917,,"2016-07-05 17:35:12"
133918,,"2016-07-05 17:35:15"
133919,,"2016-07-05 17:35:18"
133920,,"2016-07-05 17:35:22"
133921,,"2016-07-05 17:35:24"
133922,,"2016-07-05 17:35:28"
133923,,"2016-07-05 17:35:31"
133924,,"2016-07-05 17:35:34"
133925,,"2016-07-05 17:35:37"
133926,,"2016-07-05 17:35:40"
133927,,"2016-07-05 17:35:45"
133928,,"2016-07-05 17:35:49"
133929,,"2016-07-05 17:35:52"
133930,,"2016-07-05 17:35:55"
133931,,"2016-07-05 17:35:58"
133932,,"2016-07-05 17:36:01"
133933,,"2016-07-05 17:36:04"
133934,,"2016-07-05 17:36:07"
133935,,"2016-07-05 17:36:10"
133936,,"2016-07-05 17:36:14"
133937,,"2016-07-05 17:36:17"
133938,,"2016-07-05 17:36:19"
133939,,"2016-07-05 17:36:22"
133940,,"2016-07-05 17:36:25"
133941,,"2016-07-05 17:36:28"
133942,,"2016-07-05 17:36:31"
133943,,"2016-07-05 17:36:34"
133944,,"2016-07-05 17:36:37"
133945,,"2016-07-05 17:36:40"
133946,,"2016-07-05 17:36:43"
133947,,"2016-07-05 17:36:46"
133948,,"2016-07-05 17:36:49"
133949,,"2016-07-05 17:36:52"
133950,,"2016-07-05 17:36:55"
133951,,"2016-07-05 17:36:58"
133952,,"2016-07-05 17:37:01"
133953,,"2016-07-05 17:37:04"
133954,,"2016-07-05 17:37:07"
133955,,"2016-07-05 17:37:11"
133956,,"2016-07-05 17:37:14"
133957,,"2016-07-05 17:37:17"
133958,,"2016-07-05 17:37:21"
133959,,"2016-07-05 17:37:26"
133960,,"2016-07-05 17:37:30"
133961,,"2016-07-06 09:29:10"
133962,,"2016-07-06 09:29:13"
133963,,"2016-07-06 09:29:16"
133964,,"2016-07-06 09:29:19"
133965,,"2016-07-06 09:29:21"
133966,,"2016-07-06 09:29:24"
133967,,"2016-07-06 09:29:27"
133968,,"2016-07-06 09:29:30"
133969,,"2016-07-06 09:29:33"
133970,,"2016-07-06 09:29:36"
133971,,"2016-07-06 09:29:40"
133972,,"2016-07-06 09:29:43"
133973,,"2016-07-06 09:29:45"
133974,,"2016-07-06 09:29:48"
133975,,"2016-07-06 09:29:51"
133976,,"2016-07-06 09:29:54"
133977,,"2016-07-06 09:29:57"
133978,,"2016-07-06 09:30:00"
133979,,"2016-07-06 09:30:04"
133980,,"2016-07-06 09:30:07"
133981,,"2016-07-06 09:30:10"
133982,,"2016-07-06 09:30:13"
133983,,"2016-07-06 09:30:17"
133984,,"2016-07-06 09:30:20"
133985,,"2016-07-06 09:30:23"
133986,,"2016-07-06 09:30:26"
133987,,"2016-07-06 09:30:28"
133988,,"2016-07-06 09:30:32"
133989,,"2016-07-06 09:30:35"
133990,,"2016-07-06 09:30:38"
133991,,"2016-07-06 09:30:41"
133992,,"2016-07-06 09:30:44"
133993,,"2016-07-06 09:30:47"
133994,,"2016-07-06 09:30:50"
133995,,"2016-07-06 09:30:53"
134076,,"2016-07-06 11:08:09"
134077,,"2016-07-06 11:08:12"
134078,,"2016-07-06 11:08:16"
134079,,"2016-07-06 11:08:19"
134080,,"2016-07-06 11:08:22"
