,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
0,0,11082,Aetna Life Insurance Company,AK,120363.61,-52362.57,22831.39
1,1,62637,John Alden Life Insurance Company,AK,N/A,N/A,78962.62
2,2,73836,"Moda Health Plan, Inc.",AK,13102419.34,-4806964.11,24371.00
3,3,38344,Premera Blue Cross Blue Shield of Alaska,AK,19984669.96,5782175.12,-119931.53
4,4,38596,Time Insurance Company,AK,1558728.91,-922848.49,-317715.76
5,5,80049,UnitedHealthcare Insurance Company,AK,N/A,N/A,311482.27
6,6,42159,All Savers Insurance Company,AL,N/A,N/A,-2634.74
7,7,46944,Blue Cross and Blue Shield of Alabama,AL,97314734.65,993113.39,1551403.36
8,8,44902,Federated Mutual Insurance Company,AL,N/A,N/A,-7318.77
9,9,93122,Freedom Life Insurance,AL,107806.57,26222.47,N/A
10,10,44580,Humana Insurance Company,AL,3343273.21,-983926.61,N/A
11,11,49771,John Alden Life Insurance Company,AL,N/A,N/A,9879.88
12,12,13939,Time Insurance Company,AL,661562.99,-35409.21,11262.04
13,13,69461,UnitedHealthcare Insurance Company,AL,N/A,N/A,206168.06
14,14,59809,UnitedHealthcare Life Insurance Company,AL,N/A,N/A,4588.49
15,15,68259,"UnitedHealthcare of Alabama, Inc.",AL,N/A,N/A,-59273.72
16,16,93018,VIVA Health,AL,N/A,N/A,-1714074.57
17,17,62141,Celtic Insurance Company,AR,6888210.15,-8621410.48,N/A
18,18,60079,Coventry Health and Life,AR,0.00,-4414.54,-44702.70
19,19,89365,Federated Mutual Insurance Company,AR,N/A,N/A,-55065.97
20,20,61273,Freedom Life Insurance,AR,0.00,-3621.42,N/A
21,21,13262,"HMO Partners, Inc.",AR,N/A,N/A,210345.00
22,22,99685,Humana Insurance Company,AR,4723.94,68170.50,27385.89
23,23,51826,John Alden Life Insurance Company,AR,N/A,N/A,-15335.35
24,24,70525,"QCA Health Plan, Inc.",AR,4262438.76,-5943287.09,-55681.10
25,25,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,N/A,N/A,-83211.31
26,26,30991,Time Insurance Company,AR,2304205.03,-2043.49,-50048.48
27,27,22732,UnitedHealthcare Ins Co of River Valley,AR,N/A,N/A,-590630.26
28,28,81392,UnitedHealthcare Insurance Company,AR,N/A,N/A,387592.55
29,29,53135,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,N/A
30,30,65817,"UnitedHealthcare of Arkansas, Inc.",AR,N/A,N/A,-112065.94
31,31,75293,USAble Mutual Insurance Company,AR,64727145.97,14435474.74,381417.67
32,32,78611,Aetna Health Inc. (a PA corp.),AZ,N/A,N/A,324131.01
33,33,84251,Aetna Life Insurance Company,AZ,3503089.05,-437141.10,-3375392.32
34,34,98971,All Savers Insurance Company,AZ,N/A,N/A,-8390.44
35,35,53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,43210443.35,14331092.97,1494667.03
36,36,86830,Cigna Health and Life Insurance Company,AZ,4060861.27,1978320.29,-24005.57
37,37,75849,Freedom Life Insurance,AZ,68741.80,1902.67,N/A
38,38,70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,N/A
39,39,51485,Health Net Life Insurance Company,AZ,39878281.54,469.35,335791.07
40,40,91450,"Health Net of Arizona, Inc.",AZ,26048764.45,-26088803.10,-2284176.05
41,41,23307,"Humana Health Plan, Inc.",AZ,4117754.92,-351373.90,-750038.97
42,42,66105,Humana Insurance Company,AZ,1328793.10,1164384.91,27209.69
43,43,73893,John Alden Life Insurance Company,AZ,N/A,N/A,700477.89
44,44,23029,Madison National Life,AZ,N/A,N/A,-4301.51
45,45,60761,Meritus Health Partners,AZ,1958734.84,2073821.34,-29408.53
46,46,92045,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,-12159.89
47,47,59096,Standard Security Life,AZ,N/A,N/A,-615.14
48,48,80863,Time Insurance Company,AZ,13874351.63,5883719.72,784218.43
49,49,82011,UnitedHealthcare Insurance Company,AZ,N/A,N/A,2961325.69
50,50,90169,UnitedHealthcare Life Insurance Company,AZ,1610.82,28226.14,N/A
51,51,40702,"UnitedHealthcare of Arizona, Inc.",AZ,N/A,N/A,-139332.36
52,52,88925,"University of Arizona Health Plans-University Healthcare, Inc.",AZ,292653.92,858090.36,N/A
53,53,20523,Aetna Health of California Inc.,CA,N/A,N/A,-23489767.02
54,54,40733,Aetna Life Insurance Company,CA,N/A,N/A,-1519853.96
55,55,27603,Blue Cross of California(Anthem BC),CA,401126393.31,-181692588.01,23364909.92
56,56,70285,CA Physician's Service dba Blue Shield of CA,CA,363050264.53,135212707.60,13755875.29
57,57,47579,Chinese Community Health Plan,CA,1824095.22,-16711278.79,-3067299.35
58,58,40025,Cigna Health and Life Insurance Company,CA,21440171.45,17743436.54,N/A
59,59,99483,Contra Costa Health Plan,CA,2293366.91,1753287.86,N/A
60,60,84014,County of Santa Clara,CA,440556.13,-318460.38,N/A
61,61,56887,"County of Ventura, dba Ventura County Health Care Plan",CA,N/A,N/A,500462.21
62,62,99110,Health Net Life Insurance Company,CA,96305759.81,53801059.26,-1149328.11
63,63,67138,"Health Net of California, Inc.",CA,48731305.15,-100186993.89,-3718209.96
64,64,68744,Humana Insurance Company,CA,N/A,N/A,8197.35
65,65,40513,"Kaiser Foundation Health Plan, Inc.",CA,240031290.84,98811448.39,-6119361.66
66,66,27330,Kaiser Permanente Insurance Company,CA,N/A,N/A,-178446.96
67,67,92815,Local Initiative Health Authority for Los Angeles County,CA,347123.67,-31742828.09,N/A
68,68,18126,MOLINA HEALTHCARE OF CALIFORNIA,CA,950343.48,-9072047.23,N/A
69,69,92499,Sharp Health Plan,CA,10986209.85,10432568.53,-953791.37
70,70,64198,Time Insurance Company,CA,45901082.37,19393416.27,N/A
71,71,35305,Trustmark Life Insurance Company,CA,N/A,N/A,-132284.52
72,72,49116,UHC of California,CA,N/A,N/A,-2215283.01
