,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
0,0,11082,Aetna Life Insurance Company,AK,0.00,-34550.55,557129.08
1,1,38344,Premera Blue Cross Blue Shield of Alaska,AK,14647542.06,12358455.76,1742413.11
2,2,38596,Time Insurance Company,AK,1166760.16,-2908793.99,-1465993.25
3,3,62637,John Alden Life Insurance Company,AK,N/A,N/A,607207.25
4,4,73836,"Moda Health Plan, Inc.",AK,26291860.29,-9415111.19,-683234.43
5,5,80049,United Healthcare Insurance Company,AK,N/A,N/A,-757521.80
6,6,13939,Time Insurance Company,AL,451875.61,-223260.20,-18832.66
7,7,44580,Humana Insurance Company,AL,4106399.00,-3473430.83,N/A
8,8,44902,Federated Mutual Insurance Company,AL,N/A,N/A,-18268.78
9,9,46944,Blue Cross and Blue Shield of Alabama,AL,96795298.27,13434646.95,1891994.10
10,10,49771,John Alden Life Insurance Company,AL,N/A,N/A,47439.27
11,11,59809,United Healthcare Life Insurance Company,AL,147985.51,-805865.40,2012.29
12,12,68259,"United Healthcare of Alabama, Inc.",AL,7830979.30,-8989541.02,-397175.98
13,13,69461,United Healthcare Insurance Company,AL,N/A,N/A,-724205.96
14,14,93018,VIVA Health,AL,N/A,N/A,-782962.27
15,15,93122,Freedom Life Insurance,AL,0.00,57450.42,N/A
16,16,13262,"HMO Partners, Inc.",AR,N/A,N/A,681450.22
17,17,22732,United Healthcare Ins Co of River Valley,AR,N/A,N/A,-737381.2130991
18,18,Time,Insurance Company,AR,852994.87,-668914.23,-271493.27
19,19,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,4993056.46,-2751129.36,-17495.48
20,20,51826,John Alden Life Insurance Company,AR,N/A,N/A,-7856.65
21,21,53135,United Healthcare Life Insurance Company,AR,506400.88,-280355.58,N/A
22,22,60079,Coventry Health and Life,AR,0.00,-15072.70,-41289.01
23,23,61273,Freedom Life Insurance,AR,0.00,-5029.01,N/A
24,24,62141,Celtic Insurance Company,AR,8194603.78,-10893205.76,N/A
25,25,65817,"United Healthcare of Arkansas, Inc.",AR,N/A,N/A,-578563.20
26,26,70525,"QCA Health Plan, Inc.",AR,10575851.65,6656762.38,-272007.50
27,27,75293,Arkansas Blue Cross and Blue Shield,AR,64786425.56,8441174.73,1078908.44
28,28,81392,United Healthcare Insurance Company,AR,N/A,N/A,9059.95
29,29,89365,Federated Mutual Insurance Company,AR,N/A,N/A,65077.18
30,30,99685,Humana Insurance Company,AR,149105.97,-484230.53,91590.58
31,31,23029,Madison National Life,AZ,N/A,N/A,-9938.88
32,32,23307,"Humana Health Plan, Inc.",AZ,676010.67,856409.75,-1948641.42
33,33,40702,"United Healthcare of Arizona, Inc.",AZ,N/A,N/A,-34081.48
34,34,51485,Health Net Life Insurance Company,AZ,46191354.96,26294064.75,7584973.03
35,35,53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,51794337.83,20131634.31,-837227.17
36,36,59096,Standard Security Life,AZ,N/A,N/A,-5153.41
37,37,60761,Meritus Health Partners,AZ,7171319.63,-48452998.55,-788993.84
38,38,65441,"Phoenix Health Plans, Inc.",AZ,0.00,-247328.86,N/A
39,39,66105,Humana Insurance Company,AZ,1777515.02,689053.89,900266.16
40,40,70239,Health Choice Insurance Co.,AZ,1542063.16,-5999819.70,N/A
41,41,70904,WMI Mutual Insurance Company,AZ,N/A,N/A,-47954.99
42,42,73893,John Alden Life Insurance Company,AZ,N/A,N/A,543121.99
43,43,75849,Freedom Life Insurance,AZ,4144.31,168620.34,N/A
44,44,78611,Aetna Health Inc. (a PA corp.),AZ,N/A,N/A,296497.65
45,45,80863,Time Insurance Company,AZ,12348424.60,11878587.57,355617.92
46,46,82011,United Healthcare Insurance Company,AZ,N/A,N/A,4970157.33
47,47,84251,Aetna Life Insurance Company,AZ,1613468.24,-3663100.18,-4599781.33
48,48,86830,Cigna Health and Life Insurance Company,AZ,1430777.83,2978136.23,-35.55
