,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
0,11082,Aetna Life Insurance Company,AK,$0.00,"$(34,550.55)","$557,129.08"
1,38344,Premera Blue Cross Blue Shield of Alaska,AK,"$14,655,165.10","$12,358,455.76","$1,742,413.11"
2,38596,Time Insurance Company,AK,"$1,167,367.38","$(2,908,793.99)","$(1,465,993.25)"
3,62637,John Alden Life Insurance Company,AK,N/E,$-,"$607,207.25"
4,73836,"Moda Health Plan, Inc.",AK,"$26,305,543.39","$(9,415,111.19)","$(683,234.43)"
5,80049,United Healthcare Insurance Company,AK,N/E,$-,"$(757,521.80)"
6,13939,Time Insurance Company,AL,"$452,110.79","$(223,260.20)","$(18,832.66)"
7,44580,Humana Insurance Company,AL,"$4,108,536.10","$(3,473,430.83)",$-
8,44902,Federated Mutual Insurance Company,AL,N/E,$-,"$(18,268.78)"
9,46944,Blue Cross and Blue Shield of Alabama,AL,"$96,845,673.52","$13,434,646.95","$1,891,994.10"
10,49771,John Alden Life Insurance Company,AL,N/E,$-,"$47,439.27"
11,59809,United Healthcare Life Insurance Company,AL,"$148,062.53","$(805,865.40)","$2,012.29"
12,68259,"United Healthcare of Alabama, Inc.",AL,"$7,835,054.79","$(8,989,541.02)","$(397,175.98)"
13,69461,United Healthcare Insurance Company,AL,N/E,$-,"$(724,205.96)"
14,93018,VIVA Health,AL,N/E,$-,"$(782,962.27)"
15,93122,Freedom Life Insurance,AL,$0.00,"$57,450.42",$-
16,13262,"HMO Partners, Inc.",AR,N/E,$-,"$681,450.22"
17,22732,United Healthcare Ins Co of River Valley,AR,N/E,$-,"$(737,381.21)"
18,30991,Time Insurance Company,AR,"$853,438.80","$(668,914.23)","$(271,493.27)"
19,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,"$4,995,655.00","$(2,751,129.36)","$(17,495.48)"
20,51826,John Alden Life Insurance Company,AR,N/E,$-,"$(7,856.65)"
21,53135,United Healthcare Life Insurance Company,AR,"$506,664.43","$(280,355.58)",$-
22,60079,Coventry Health and Life,AR,$0.00,"$(15,072.70)","$(41,289.01)"
23,61273,Freedom Life Insurance,AR,$0.00,"$(5,029.01)",$-
24,62141,Celtic Insurance Company,AR,"$8,196,167.49","$(10,893,205.76)",$-
25,65817,"United Healthcare of Arkansas, Inc.",AR,N/E,$-,"$(578,563.20)"
26,70525,"QCA Health Plan, Inc.",AR,"$10,580,046.00","$6,656,762.38","$(272,007.50)"
27,75293,Arkansas Blue Cross and Blue Shield,AR,"$64,811,130.09","$8,441,174.73","$1,078,908.44"
28,81392,United Healthcare Insurance Company,AR,N/E,$-,"$9,059.95"
29,89365,Federated Mutual Insurance Company,AR,N/E,$-,"$65,077.18"
30,99685,Humana Insurance Company,AR,"$149,183.57","$(484,230.53)","$91,590.58"
31,23029,Madison National Life,AZ,N/E,$-,"$(9,938.88)"
32,23307,"Humana Health Plan, Inc.",AZ,"$676,362.49","$856,409.75","$(1,948,641.42)"
