,HIOS_ID,COMPANY_NAME,STATE,IND_MEMBER_MONTHS,SG_MEMBER_MONTHS,REINSURANCE,IND_RISK_ADJ,SG_RISK_ADJ
0,,"Cariten Health Plan, Inc.",Grand Total,,,,,
1,95765,"Cariten Health Plan, Inc.",Tennessee,,,,,
2,55221,Emphesys Insurance Company,Arizona,,48,,,
3,,Emphesys Insurance Company,Grand Total,,48,,,
4,,"Humana Benefit Plan of Illinois, Inc.",Grand Total,,,,,
5,87715,"Humana Benefit Plan of Illinois, Inc.",Illinois,,,,,
6,65327,"Humana Benefit Plan of Illinois, Inc.",North Dakota,,,,,
7,80957,"Humana Benefit Plan of Illinois, Inc.",Pennsylvania,,,,,
8,,"Humana Health Benefit Plan of Louisiana, Inc.",Grand Total,264141,363156,7813491.3999999985,482642.43,-119935.54
9,,"Humana Health Benefit Plan of Louisiana, Inc.",Grand Total,264141,363156,7813491.3999999985,482642.43,-119935.54
10,44965,"Humana Health Benefit Plan of Louisiana, Inc.",Louisiana,264141,363156,7813491.3999999985,482642.43,-119935.54
11,44965,"Humana Health Benefit Plan of Louisiana, Inc.",Louisiana,264141,363156,7813491.3999999985,482642.43,-119935.54
12,93332,"Humana Employers Health Plan of Georgia, Inc.",Georgia,2871577,1208242,194926953.7599998,64808.72,-6158.42
13,,"Humana Employers Health Plan of Georgia, Inc.",Grand Total,2871577,1208242,194926953.7599998,64808.72,-6158.42
14,99308,"Humana Health Insurance Company of Florida, Inc.",Florida,332719,7632,547055.6599999999,164111.48,-116650.43
15,,"Humana Health Insurance Company of Florida, Inc.",Grand Total,332719,7632,547055.6599999999,164111.48,-116650.43
16,58003,"Humana Health Plan, Inc.",Alabama,,,,,
17,58003,"Humana Health Plan, Inc.",Alabama,,,,,
18,58003,"Humana Health Plan, Inc.",Alabama,,,,,
19,23307,"Humana Health Plan, Inc.",Arizona,32208,137933,4117754.920000001,-351373.9,-750038.97
20,23307,"Humana Health Plan, Inc.",Arizona,32208,137933,4117754.920000001,-351373.9,-750038.97
21,23307,"Humana Health Plan, Inc.",Arizona,32208,137933,4117754.920000001,-351373.9,-747782.09
22,15517,"Humana Health Plan, Inc.",Arkansas,,,,,
23,15517,"Humana Health Plan, Inc.",Arkansas,,,,,
24,15517,"Humana Health Plan, Inc.",Arkansas,,,,,
25,74320,"Humana Health Plan, Inc.",Colorado,205949,173854,8822154.98,4731745.94,-2841602.51
26,74320,"Humana Health Plan, Inc.",Colorado,205949,173854,8822154.98,4731745.94,-2841602.51
27,74320,"Humana Health Plan, Inc.",Colorado,205949,173854,8822154.98,4731745.94,-2841602.51
28,,"Humana Health Plan, Inc.",Grand Total,554545,1064728,22524616.04,6147169.19,-7021727.09
29,,"Humana Health Plan, Inc.",Grand Total,554545,1064728,22524616.04,6147169.19,-7021831.989999999
30,,"Humana Health Plan, Inc.",Grand Total,554545,1064728,22524616.04,6147169.19,-7019460.93
31,53096,"Humana Health Plan, Inc.",Idaho,,,,,
32,53096,"Humana Health Plan, Inc.",Idaho,,,,,
33,53096,"Humana Health Plan, Inc.",Idaho,,,,,
34,58288,"Humana Health Plan, Inc.",Illinois,14469,58894,1706900.4300000002,614409.67,-1028302.66
35,58288,"Humana Health Plan, Inc.",Illinois,14469,58894,1706900.4300000002,614409.67,-1028302.66
36,58288,"Humana Health Plan, Inc.",Illinois,14469,58894,1706900.4300000002,614409.67,-1028302.66
37,43442,"Humana Health Plan, Inc.",Indiana,,6121,,,-19562.32
38,43442,"Humana Health Plan, Inc.",Indiana,,6121,,,-19667.22
39,43442,"Humana Health Plan, Inc.",Indiana,,6121,,,-19562.32
40,49857,"Humana Health Plan, Inc.",Kansas,,2489,,,-125193.09
41,49857,"Humana Health Plan, Inc.",Kansas,,2489,,,-125193.09
42,49857,"Humana Health Plan, Inc.",Kansas,,2489,,,-125193.09
43,15411,"Humana Health Plan, Inc.",Kentucky,301919,547482,7877805.709999999,1152387.48,-1929958.7
44,15411,"Humana Health Plan, Inc.",Kentucky,301919,547482,7877805.709999999,1152387.48,-1929958.7
45,15411,"Humana Health Plan, Inc.",Kentucky,301919,547482,7877805.709999999,1152387.48,-1929958.7
46,73889,"Humana Health Plan, Inc.",Missouri,,223,,,
47,73889,"Humana Health Plan, Inc.",Missouri,,223,,,
48,73889,"Humana Health Plan, Inc.",Missouri,,223,,,
