,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:
0,Unified Life Insurance Company,South Carolina,10018,0.0,,0.0,0.0,,,,,No
1,American National Life Insurance Company of Texas,Maryland,10029,107.0,,0.0,0.0,,,,,No
2,Union Security Insurance Company,Texas,10055,0.0,0.0,0.0,0.0,0.0,,,,No
3,Guarantee Trust Life Insurance Co.,Pennsylvania,10078,6.0,,,,,,,,No
4,The Prudential Insurance Company of America,Iowa,10083,,,,,,,,,No
5,PacificSource Health Plans,Oregon,10091,127744.0,427433.0,10421046.0,3133280.74,359544.0,"$10,259,771.48 ","$3,133,280.74 ","$359,543.94 ",Yes
6,Connecticut General Life Insurance Company,Nebraska,10161,0.0,0.0,0.0,0.0,0.0,,,,No
7,Kanawha Insurance Company ,Washington,10188,120.0,,,,,,,,No
8,Freelancers CO-OP of New Jersey,New Jersey,10191,32684.0,3224.0,5827112.0,9029800.73,-615255.45,"$5,827,111.77 ","$9,029,800.73 ","($615,255.45)",No
9,Union Fidelity Life Insurance Company,Delaware,10192,,,,,,,,,No
10,Wilton Reassurance Company,Delaware,10198,36.0,,,,,,,,No
11,Transamerica Life Insurance Company,Iowa,10201,,,,,,,,,No
12,"CareFirst BlueChoice, Inc.",Virginia,10207,258022.0,398671.0,11321522.36,-6283212.33,-4403583.34,"$11,321,522.36 ","($6,283,212.33)","($4,403,583.34)",No
13,Central United Life Insurance Company,Missouri,10219,,,,,,,,,No
14,The United States Life Ins. Co. in the City of New York,Kansas,10236,2474.0,,,,,,,,No
15,Mid-West National Life Insurance Company of Tennessee,Tennessee,10255,16902.0,12.0,0.0,0.0,0.0,,,,No
16,American Alternative Insurance Corporation,Ohio,10313,,1473.0,,,,,,,No
17,Freedom Life Insurance Company of America,Nebraska,10324,328.0,,0.0,0.0,,,,,No
18,Thrivent Financial for Lutherans,Arkansas,10354,,,,,,,,,No
19,Thrivent Financial for Lutherans,California,10360,,,,,,,,,No
20,Transamerica Life Insurance Company,South Carolina,10390,,,,,,,,,No
21,Union Labor Life Insurance Company,Ohio,10421,11.0,,,,,,,,No
22,American Republic Insurance Company,Delaware,10457,,,,,,,,,No
23,Life of America,Oklahoma,10463,24.0,,,,,,,,No
24,The Prudential Insurance Company of America,Missouri,10466,,,,,,,,,No
25,Trustmark Insurance Company,New Mexico,10508,,,,,,,,,No
26,Unified Life Insurance Company,Pennsylvania,10545,144.0,,0.0,0.0,,,,,No
27,National Foundation Life Insurance Company,Rhode Island,10575,24.0,,0.0,0.0,,,,,No
28,United Teachers Associates,Wisconsin,10641,24.0,,,,,,,,No
29,American Republic Insurance Company,Missouri,10676,,,,,,,,,No
30,All Savers Insurance Company,South Dakota,10697,0.0,0.0,0.0,0.0,0.0,,,,No
31,Trustmark Insurance Company,Ohio,10709,,,,,,,,,No
32,State Farm Mutual Automobile Insurance Company,North Dakota,10751,603.0,0.0,0.0,0.0,0.0,,,,No
33,Union Security Insurance Company,Arkansas,10754,0.0,0.0,0.0,0.0,0.0,,,,No
34,United Teachers Associates,Texas,10805,36.0,,,,,,,,No
35,Pekin Life Insurance Company,Nebraska,10818,,,,,,,,,No
36,Trustmark Life Insurance Company,Alaska,10827,,7899.0,,0.0,0.0,,,,No
37,Celtic Insurance Company,Pennsylvania,10842,776.0,,0.0,-6140.62,,$0.00 ,"($6,140.62)",$-,No
38,American General Life Insurance Company,District of Columbia,10923,0.0,,,,,,,,No
39,"Health Net Health Plan of Oregon, Inc",Oregon,10940,38452.0,294506.0,3230190.0,2794804.0,-2324194.0,"$3,230,190.41 ","$2,794,804.37 ","($2,324,193.93)",No
40,UnitedHealthcare Insurance Company of the River Valley,Tennessee,10958,1668.0,359188.0,0.0,0.0,-3226801.76,N/E,$-,"($3,226,801.76)",No
41,Central United Life Insurance Company,Maryland,11012,,,,,,,,,No
42,Trustmark Life Insurance Company,Nevada,11015,,4955.0,,0.0,0.0,,,,No
43,Unified Life Insurance Company,South Dakota,11077,0.0,,0.0,0.0,,,,,No
44,TransAmerica Premier Life Insurance,Pennsylvania,11078,0.0,,,,,,,,No
45,Aetna Life Insurance Company,Alaska,11082,10131.0,33718.0,120363.61,-52362.57,22831.39,"$120,363.61 ","($52,362.57)","$22,831.39 ",No
46,Federated Mutual Insurance Company,Indiana,11104,17.0,109683.0,0.0,0.0,-22411.92,N/E,$-,"($22,411.92)",No
47,American Income Life Insurance Co,Colorado,11109,,,,,,,,,No
48,Liberty Mutual Insurance Company,Nevada,11119,,,,,,,,,No
49,MetroPlus Health Plan,New York,11177,399516.0,6897.0,4200475.38,-54020697.93,-1166880.06,"$4,200,475.38 ","($54,033,594.10)","($1,169,658.09)",No
50,Kanawha Insurance Company ,Utah,11197,75.0,,,,,,,,No
51,Trustmark Life Insurance Company,New Mexico,11211,,3.0,,0.0,0.0,,,,No
52,American Income Life Insurance Co,Oklahoma,11230,,,,,,,,,No
53,Wilton Reassurance Company,Texas,11243,13065.0,,,,,,,,No
54,Union Security Insurance Company,Nevada,11262,0.0,0.0,0.0,0.0,0.0,,,,No
55,Reserve National Insurance Company,Indiana,11265,,,,,,,,,No
56,Kanawha Insurance Company ,Indiana,11268,402.0,,,,,,,,No
57,Blue Cross Blue Shield of Wyoming,Wyoming,11269,124364.0,176808.0,7922983.0,6093726.0,-490054.0,"$7,922,982.99 ","$6,093,726.20 ","($490,054.01)",Yes
58,Kanawha Insurance Company ,New York,11296,5079.0,,,,,,,,No
59,Liberty National Life Insurance Co,Colorado,11323,,,,,,,,,No
60,State Farm Mutual Automobile Insurance Company,Arkansas,11343,1313.0,0.0,0.0,0.0,0.0,,,,No
61,Reliance Standard Life Insurance Company,Utah,11348,,,,,,,,,No
62,United American Insurance Co,Mississippi,11415,,,,,,,,,No
63,United Teachers Associates,California,11440,247.0,,,,,,,,No
64,American Income Life Insurance Co,Arkansas,11450,,,,,,,,,No
65,American General Life Insurance Company,Florida,11461,10962.0,,,,,,,,No
66,Philadelphia American Life Insurance Company,Kansas,11483,,,,,,,,,No
67,Blue Cross and Blue Shield of North Carolina,North Carolina,11512,6260187.0,2352381.0,263678346.0,21858789.0,9263138.0,"$263,657,626.53 ","$21,858,789.45 ","$9,263,138.01 ",Yes
68,PacifiCare Life and Health Insurance Co,Alabama,11522,0.0,0.0,0.0,0.0,0.0,,,,No
69,New Health Ventures Inc,Colorado,11555,921.0,,205000.0,99153.0,,"$205,000.00 ","$99,152.72 ",$-,No
70,Philadelphia American Life Insurance Company,Louisiana,11586,,,,,,,,,No
71,"HPHC Insurance Company, Inc.",Maine,11593,1796.0,179483.0,754640.0,578794.0,347234.0,"$754,640.17 ","$578,793.75 ","$347,234.34 ",No
72,United Teachers Associates,Nevada,11600,,,,,,,,,No
73,Wilton Reassurance Company,Virginia,11610,192.0,,,,,,,,No
74,State Farm Mutual Automobile Insurance Company,Colorado,11613,2228.0,0.0,0.0,0.0,0.0,,,,No
75,Connecticut General Life Insurance Company,District of Columbia,11618,0.0,0.0,0.0,0.0,0.0,,,,No
76,Philadelphia American Life Insurance Company,Pennsylvania,11663,680.0,36.0,,,,,,,No
77,"BLUE CROSS & BLUE SHIELD OF MISSISSIPPI, A MUTUAL INSURANCE COMPANY",Mississippi,11721,764940.0,807922.0,6452873.0,4539848.0,356246.0,"$6,452,872.90 ","$4,539,847.85 ","$356,245.91 ",No
78,Shelter Life Insurance Company,South Carolina,11722,12.0,0.0,0.0,0.0,0.0,,,,No
79,AMERICAN FIDELITY ASSURANCE COMPANY,Texas,11755,12.0,,,,,,,,No
80,Reliance Standard Life Insurance Company,South Dakota,11782,,,,,,,,,No
81,Illinois Mutual Life Insurance Company,Oklahoma,11838,,,,,,,,,No
82,American Family Mutual Insurance Company,Missouri,11844,1247.0,,,,,,,,No
83,Unimerica Insurance Company,Oregon,11877,0.0,0.0,0.0,0.0,0.0,,,,No
84,Globe Life and Accident Insurance Co,Montana,11883,,,,,,,,,No
85,American Family Mutual Insurance Company,Nebraska,12005,570.0,,,,,,,,No
86,Innovation Health Insurance Company,Virginia,12028,250797.0,49013.0,8970576.3,-10851778.45,-656684.17,"$8,970,576.30 ","($10,851,778.45)","($656,684.17)",No
87,American National Insurance Company,California,12074,218.0,,0.0,0.0,,,,,No
88,Guarantee Trust Life Insurance Co.,New Jersey,12143,0.0,,,,,,,,No
89,All Savers Insurance Company,Vermont,12202,0.0,0.0,0.0,0.0,0.0,,,,No
90,Guarantee Trust Life Insurance Co.,South Carolina,12280,33.0,,,,,,,,No
91,San Mateo Health Commission,California,12318,,,,,,,,,Yes
92,TransAmerica Premier Life Insurance,Iowa,12332,,,,,,,,,No
93,Standard Security Life Insurance Company of New York,Missouri,12363,0.0,6547.0,,,-1744.73,N/E,$-,"($1,744.73)",No
94,Guarantee Trust Life Insurance Co.,Arizona,12388,6.0,,,,,,,,No
95,AMERICAN FIDELITY ASSURANCE COMPANY,Ohio,12409,,,,,,,,,No
96,Nippon Life Insurance Company of America,Georgia,12442,,14058.0,,,-113027.35,N/E,$-,"($113,027.35)",No
97,"Madison National Life Insurance Company, Inc.",Wisconsin,12509,0.0,0.0,,,,,,,No
98,Medical Benefits Mutual Life Insurance Co.,Ohio,12512,,7858.0,,,,,,,No
99,Golden Rule Insurance Company,Oregon,12528,0.0,0.0,0.0,0.0,0.0,,,,No
100,The United States Life Ins. Co. in the City of New York,Florida,12541,116897.0,,,,,,,,No
101,PacifiCare Life and Health Insurance Co,Washington,12586,0.0,0.0,0.0,0.0,0.0,,,,No
102,New York Life Insurance Company,Indiana,12595,0.0,,,,,,,,No
103,American Heritage Life Insurance Company,Texas,12621,,,,,,,,,No
104,United American Insurance Co,Minnesota,12627,,,,,,,,,No
105,Celtic Insurance Company,Vermont,12666,0.0,,0.0,0.0,,,,,No
106,"Union Health Service, Inc.",Illinois,12690,,95.0,,,,,,,Yes
107,Connecticut General Life Insurance Company,Oklahoma,12693,0.0,0.0,0.0,0.0,0.0,,,,No
108,Unimerica Insurance Company,Arkansas,12762,0.0,0.0,0.0,0.0,0.0,,,,No
109,United Healthcare Life Insurance Company,California,12799,0.0,0.0,0.0,0.0,0.0,,,,No
110,Union Fidelity Life Insurance Company,South Dakota,12842,,,,,,,,,No
111,State Farm Mutual Automobile Insurance Company,Wisconsin,12844,1167.0,0.0,0.0,0.0,0.0,,,,No
112,The Guardian Life Insurance Company of America,Texas,12846,256.0,,,,,,,,No
113,Time Insurance Company,Rhode Island,12877,0.0,0.0,0.0,0.0,0.0,,,,No
114,State Farm Mutual Automobile Insurance Company,Florida,12910,3362.0,0.0,0.0,0.0,0.0,,,,No
115,UnitedHealthcare Insurance Company,United States Virgin Islands,12964,239.0,40169.0,0.0,0.0,0.0,,,,No
116,Mutual of Omaha Insurance Company,Illinois,13029,,,,,,,,,No
117,Time Insurance Company,New York,13039,0.0,0.0,0.0,0.0,0.0,,,,No
118,Union Fidelity Life Insurance Company,Alabama,13062,,,,,,,,,No
119,American National Insurance Company,North Dakota,13081,24.0,,0.0,0.0,,,,,No
120,Mutual of Omaha Insurance Company,Minnesota,13099,,,,,,,,,No
121,Thrivent Financial for Lutherans,Maryland,13124,,,,,,,,,No
122,Globe Life and Accident Insurance Co,Georgia,13137,,,,,,,,,No
123,American Income Life Insurance Co,Maine,13155,,,,,,,,,No
124,Globe Life and Accident Insurance Co,Arizona,13165,,,,,,,,,No
125,Unified Life Insurance Company,Massachusetts,13200,24.0,,0.0,0.0,,,,,No
126,Cigna Health and Life Insurance Company,Nevada,13207,1.0,268.0,0.0,0.0,0.0,,,,No
127,Central United Life Insurance Company,Oregon,13235,,,,,,,,,No
128,Central United Life Insurance Company,Utah,13257,,,,,,,,,No
129,"HMO Partners, Inc.",Arkansas,13262,,233627.0,,,94444.13,N/E,$-,"$210,345.00 ",Yes
130,Reliance Standard Life Insurance Company,Arkansas,13285,,,,,,,,,No
131,"GMS Reinsurance Company, LTD",Indiana,13288,,3643.0,,,,,,,No
132,United Teachers Associates,Alabama,13311,48.0,,,,,,,,No
133,Wilton Reassurance Company,California,13364,40727.0,,,,,,,,No
134,Cigna Health and Life Insurance Company,Pennsylvania,13401,12.0,0.0,0.0,0.0,0.0,,,,No
135,Federated Mutual Insurance Company,Virginia,13433,6.0,20490.0,0.0,0.0,-385476.13,N/E,$-,"($385,476.13)",No
136,United Teachers Associates,Indiana,13435,,,,,,,,,No
137,Liberty Mutual Insurance Company,South Carolina,13452,,,,,,,,,No
138,Kanawha Insurance Company ,Texas,13468,1281.0,,,,,,,,No
139,Celtic Insurance Company,Nebraska,13484,73.0,,0.0,0.0,,,,,No
140,Union Fidelity Life Insurance Company,Louisiana,13506,,,,,,,,,No
141,Companion Life Insurance Company,Utah,13529,4854.0,,,,,,,,No
142,UnitedHealthcare Insurance Company,Georgia,13535,565.0,312624.0,0.0,0.0,2602799.56,N/E,$-,"$2,602,799.56 ",No
143,Coventry Health & Life Insurance Company,Delaware,13537,16121.0,484.0,437178.28,3410.6,0.0,"$437,178.28 ","$3,410.60 ",$-,No
144,Time Insurance Company,New Jersey,13574,0.0,0.0,0.0,0.0,0.0,,,,No
145,The United States Life Ins. Co. in the City of New York,Delaware,13592,1626.0,,,,,,,,No
146,Blue Cross and Blue Shield of Vermont,Vermont,13627,316114.0,371669.0,25139520.11,192224.0,2478025.0,,,,Yes
147,Trustmark Life Insurance Company,Arizona,13647,,6913.0,,0.0,0.0,,,,No
148,UnitedHealthcare Insurance Company of New York,Delaware,13660,0.0,0.0,0.0,0.0,0.0,,,,No
149,"HealthPlus of Michigan, Inc.",Michigan,13667,25005.0,12414.0,1384235.0,-855253.0,-366651.0,"$1,384,234.63 ","($855,252.76)","($366,651.02)",Yes
150,American States Insurance Company,Texas,13685,,,,,,,,,No
151,Liberty National Life Insurance Co,Virginia,13730,,,,,,,,,No
152,All Savers Insurance Company,Illinois,13809,0.0,0.0,0.0,0.0,0.0,,,,No
153,Wilton Reassurance Company,Maryland,13817,138.0,,,,,,,,No
154,Connecticut General Life Insurance Company,Kansas,13833,0.0,0.0,0.0,0.0,0.0,,,,No
155,Trustmark Insurance Company,Iowa,13857,,,,,,,,,No
156,Wilton Reassurance Company,Nevada,13888,2391.0,,,,,,,,No
157,Time Insurance Company,Alabama,13939,11799.0,1236.0,661563.0,-35409.0,11262.0,"$661,562.99 ","($35,409.21)","$11,262.04 ",No
158,AMERICAN FIDELITY ASSURANCE COMPANY,Illinois,13942,,,,,,,,,No
159,UnitedHealthcare Insurance Company,Illinois,13947,4059.0,0.0,0.0,0.0,0.0,,,,No
160,Horizon Healthcare of New Jersey,New Jersey,13953,40718.0,144872.0,,,97615.72,N/E,$-,"$97,615.72 ",Yes
161,United American Insurance Co,New Jersey,13991,,,,,,,,,No
162,"BlueCross BlueShield of Tennessee, Inc.",Tennessee,14002,2515002.0,2621780.0,116386841.0,-1824896.0,6557827.0,"$116,386,840.70 ","($1,824,896.38)","$6,557,826.76 ",Yes
163,American Heritage Life Insurance Company,Mississippi,14014,,,,,,,,,No
164,Time Insurance Company,Missouri,14026,186785.0,16203.0,5677768.0,2064658.0,-12141.0,"$5,677,768.05 ","$2,064,658.36 ","($12,141.44)",No
165,Aetna Life Insurance Company,Louisiana,14030,1243.0,16983.0,0.0,0.0,-11121.47,N/E,$-,"($11,121.47)",No
166,Guarantee Trust Life Insurance Co.,Kansas,14090,10.0,,,,,,,,No
167,Mutual of Omaha Insurance Company,California,14091,,,,,,,,,No
168,Transamerica Life Insurance Company,Maryland,14115,,,,,,,,,No
169,UnitedHealthcare Insurance Company,Northern Mariana Islands,14128,0.0,0.0,0.0,0.0,0.0,,,,No
170,Celtic Insurance Company,Idaho,14136,32.0,,0.0,0.0,,,,,No
171,Standard Life and Accident Insurance Company,Michigan,14156,608.0,,0.0,0.0,,,,,No
172,United Healthcare Life Insurance Company,Missouri,14162,25008.0,0.0,2019769.19,1388382.83,0.0,"$2,019,769.19 ","$1,388,382.82 ",$-,No
173,Wilton Reassurance Company,Mississippi,14216,2408.0,,,,,,,,No
174,American General Life Insurance Company,Alabama,14290,4212.0,,,,,,,,No
175,PacifiCare Life and Health Insurance Co,Kansas,14314,0.0,0.0,0.0,0.0,0.0,,,,No
176,American National Insurance Company,Minnesota,14327,12.0,,0.0,0.0,,,,,No
177,Connecticut General Life Insurance Company,Florida,14345,766801.0,0.0,0.0,0.0,0.0,,,,No
178,Federated Mutual Insurance Company,West Virginia,14414,0.0,3297.0,0.0,0.0,-9423.93,N/E,$-,"($9,423.93)",No
179,Union Fidelity Life Insurance Company,North Carolina,14442,,,,,,,,,No
180,Unified Life Insurance Company,Iowa,14459,0.0,,0.0,0.0,,,,,No
181,The Prudential Insurance Company of America,Wyoming,14463,,,,,,,,,No
182,"Coventry Health Care of Delaware, Inc.",Maryland,14468,924.0,113336.0,0.0,0.0,-4150472.1,N/E,$-,"($4,255,487.55)",No
183,National Foundation Life Insurance Company,Iowa,14469,369.0,,0.0,0.0,,,,,No
184,Family Health Hawaii mbs,Hawaii,14479,,0.0,,,0.0,N/E,$-,"($541,621.36)",Yes
185,Trustmark Insurance Company,California,14526,,,,,,,,,No
186,Connecticut General Life Insurance Company,Maryland,14536,39.0,0.0,0.0,0.0,0.0,,,,No
187,Companion Life Insurance Company,Wyoming,14609,13062.0,,,,,,,,No
188,"Madison National Life Insurance Company, Inc.",Pennsylvania,14615,98.0,,,,,,,,No
189,AMERICAN FIDELITY ASSURANCE COMPANY,Indiana,14617,,,,,,,,,No
190,Time Insurance Company,Ohio,14650,102450.0,78577.0,4474175.0,2104211.0,66259.0,"$4,474,174.84 ","$2,104,210.85 ","$66,259.04 ",No
191,"Sierra Health and Life Insurance Company, Inc.",New Mexico,14652,0.0,0.0,0.0,0.0,0.0,,,,No
192,The Guardian Life Insurance Company of America,Washington,14711,72.0,,,,,,,,No
193,Trustmark Insurance Company,Massachusetts,14717,,,,,,,,,No
194,Humana Insurance Company,Rhode Island,14730,,,,,,,,,No
195,Wilton Reassurance Company,Hawaii,14753,134.0,,,,,,,,No
