,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:,Premium,Loss1,Loss2,Loss3,Loss4
0,Unified Life Insurance Company,South Carolina,10018,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
1,American National Life Insurance Company of Texas,Maryland,10029,107.0,,0.0,0.0,,,,,No,75683.44,64780.65,,,0.0
2,Union Security Insurance Company,Texas,10055,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
3,Guarantee Trust Life Insurance Co.,Pennsylvania,10078,6.0,,,,,,,,No,8096.0,,,,
4,The Prudential Insurance Company of America,Iowa,10083,,,,,,,,,No,,,,,
5,PacificSource Health Plans,Oregon,10091,127744.0,427433.0,10421046.0,3133280.74,359544.0,"$10,259,771.48 ","$3,133,280.74 ","$359,543.94 ",Yes,46336768.74,49756526.96,6757825.0,281558.0,
6,Connecticut General Life Insurance Company,Nebraska,10161,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-20.0,0.0,0.0,0.0
7,Kanawha Insurance Company ,Washington,10188,120.0,,,,,,,,No,3487.0,15433.0,,,
8,Freelancers CO-OP of New Jersey,New Jersey,10191,32684.0,3224.0,5827112.0,9029800.73,-615255.45,"$5,827,111.77 ","$9,029,800.73 ","($615,255.45)",No,29807150.73,25023388.0,3949099.0,177933.0,0.0
9,Union Fidelity Life Insurance Company,Delaware,10192,,,,,,,,,No,,,,,
10,Wilton Reassurance Company,Delaware,10198,36.0,,,,,,,,No,110.0,0.0,,,
11,Transamerica Life Insurance Company,Iowa,10201,,,,,,,,,No,,,,,
12,"CareFirst BlueChoice, Inc.",Virginia,10207,258022.0,398671.0,11321522.36,-6283212.33,-4403583.34,"$11,321,522.36 ","($6,283,212.33)","($4,403,583.34)",No,79216780.9,70625508.48,7924219.75,362231.9218,0.0
13,Central United Life Insurance Company,Missouri,10219,,,,,,,,,No,,,,,
14,The United States Life Ins. Co. in the City of New York,Kansas,10236,2474.0,,,,,,,,No,103077.0,54825.0,0.0,0.0,0.0
15,Mid-West National Life Insurance Company of Tennessee,Tennessee,10255,16902.0,12.0,0.0,0.0,0.0,,,,No,4764260.0,2525127.127,145371.3663,50634.04196,595.52
16,American Alternative Insurance Corporation,Ohio,10313,,1473.0,,,,,,,No,,,,,
17,Freedom Life Insurance Company of America,Nebraska,10324,328.0,,0.0,0.0,,,,,No,69207.0,64272.0,0.0,0.0,0.0
18,Thrivent Financial for Lutherans,Arkansas,10354,,,,,,,,,No,,,,,
19,Thrivent Financial for Lutherans,California,10360,,,,,,,,,No,,,,,
20,Transamerica Life Insurance Company,South Carolina,10390,,,,,,,,,No,,,,,
21,Union Labor Life Insurance Company,Ohio,10421,11.0,,,,,,,,No,149.0,0.0,,,
22,American Republic Insurance Company,Delaware,10457,,,,,,,,,No,,,,,
23,Life of America,Oklahoma,10463,24.0,,,,,,,,No,4345.0,0.0,,,
24,The Prudential Insurance Company of America,Missouri,10466,,,,,,,,,No,,,,,
25,Trustmark Insurance Company,New Mexico,10508,,,,,,,,,No,,,,,
26,Unified Life Insurance Company,Pennsylvania,10545,144.0,,0.0,0.0,,,,,No,710.16,0.0,0.0,0.0,0.0
27,National Foundation Life Insurance Company,Rhode Island,10575,24.0,,0.0,0.0,,,,,No,1729.0,3548.0,0.0,0.0,0.0
28,United Teachers Associates,Wisconsin,10641,24.0,,,,,,,,No,0.0,-257.0,,,
29,American Republic Insurance Company,Missouri,10676,,,,,,,,,No,,,,,
30,All Savers Insurance Company,South Dakota,10697,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
31,Trustmark Insurance Company,Ohio,10709,,,,,,,,,No,,,,,
32,State Farm Mutual Automobile Insurance Company,North Dakota,10751,603.0,0.0,0.0,0.0,0.0,,,,No,270717.61,154970.58,0.0,0.0,0.0
33,Union Security Insurance Company,Arkansas,10754,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
34,United Teachers Associates,Texas,10805,36.0,,,,,,,,No,0.0,-149.0,,,
35,Pekin Life Insurance Company,Nebraska,10818,,,,,,,,,No,0.0,0.0,,,
36,Trustmark Life Insurance Company,Alaska,10827,,7899.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
37,Celtic Insurance Company,Pennsylvania,10842,776.0,,0.0,-6140.62,,$0.00 ,"($6,140.62)",$-,No,197639.38,315843.4295,19988.0,3877.0,0.0
38,American General Life Insurance Company,District of Columbia,10923,0.0,,,,,,,,No,0.0,0.0,,,
39,"Health Net Health Plan of Oregon, Inc",Oregon,10940,38452.0,294506.0,3230190.0,2794804.0,-2324194.0,"$3,230,190.41 ","$2,794,804.37 ","($2,324,193.93)",No,19499633.0,19496468.0,3840509.0,235456.0,
40,UnitedHealthcare Insurance Company of the River Valley,Tennessee,10958,1668.0,359188.0,0.0,0.0,-3226801.76,N/E,$-,"($3,226,801.76)",No,689451.78,547207.82,93755.84,20994.41,0.0
41,Central United Life Insurance Company,Maryland,11012,,,,,,,,,No,,40419.0,,,
42,Trustmark Life Insurance Company,Nevada,11015,,4955.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
43,Unified Life Insurance Company,South Dakota,11077,0.0,,0.0,0.0,,,,,No,1290.61,0.0,0.0,0.0,0.0
44,TransAmerica Premier Life Insurance,Pennsylvania,11078,0.0,,,,,,,,No,0.0,,,,
45,Aetna Life Insurance Company,Alaska,11082,10131.0,33718.0,120363.61,-52362.57,22831.39,"$120,363.61 ","($52,362.57)","$22,831.39 ",No,3346759.85,2492398.44,224170.94,9060.23,24.08
46,Federated Mutual Insurance Company,Indiana,11104,17.0,109683.0,0.0,0.0,-22411.92,N/E,$-,"($22,411.92)",No,10833.64,1163.2,0.0,0.0,0.0
47,American Income Life Insurance Co,Colorado,11109,,,,,,,,,No,0.0,0.0,,,
48,Liberty Mutual Insurance Company,Nevada,11119,,,,,,,,,No,,,,,
49,MetroPlus Health Plan,New York,11177,399516.0,6897.0,4200475.38,-54020697.93,-1166880.06,"$4,200,475.38 ","($54,033,594.10)","($1,169,658.09)",No,101544163.5,77121222.22,23159541.42,268072.3626,0.0
50,Kanawha Insurance Company ,Utah,11197,75.0,,,,,,,,No,4901.0,31865.0,,,
51,Trustmark Life Insurance Company,New Mexico,11211,,3.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
52,American Income Life Insurance Co,Oklahoma,11230,,,,,,,,,No,0.0,0.0,,,
53,Wilton Reassurance Company,Texas,11243,13065.0,,,,,,,,No,25778.0,37339.0,,,
54,Union Security Insurance Company,Nevada,11262,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
55,Reserve National Insurance Company,Indiana,11265,,,,,,,,,No,0.0,0.0,,,
56,Kanawha Insurance Company ,Indiana,11268,402.0,,,,,,,,No,11955.0,35397.0,,,
57,Blue Cross Blue Shield of Wyoming,Wyoming,11269,124364.0,176808.0,7922983.0,6093726.0,-490054.0,"$7,922,982.99 ","$6,093,726.20 ","($490,054.01)",Yes,63571067.0,56230763.0,6939784.0,613334.0,
58,Kanawha Insurance Company ,New York,11296,5079.0,,,,,,,,No,273696.0,591248.0,,,
59,Liberty National Life Insurance Co,Colorado,11323,,,,,,,,,No,0.0,0.0,,,
60,State Farm Mutual Automobile Insurance Company,Arkansas,11343,1313.0,0.0,0.0,0.0,0.0,,,,No,633792.12,329865.45,0.0,0.0,0.0
61,Reliance Standard Life Insurance Company,Utah,11348,,,,,,,,,No,0.0,0.0,,,
62,United American Insurance Co,Mississippi,11415,,,,,,,,,No,0.0,0.0,,,
63,United Teachers Associates,California,11440,247.0,,,,,,,,No,22280.0,-374.0,0.0,0.0,0.0
64,American Income Life Insurance Co,Arkansas,11450,,,,,,,,,No,0.0,0.0,,,
65,American General Life Insurance Company,Florida,11461,10962.0,,,,,,,,No,169448.0,228885.0,,,
66,Philadelphia American Life Insurance Company,Kansas,11483,,,,,,,,,No,,,,,
67,Blue Cross and Blue Shield of North Carolina,North Carolina,11512,6260187.0,2352381.0,263678346.0,21858789.0,9263138.0,"$263,657,626.53 ","$21,858,789.45 ","$9,263,138.01 ",Yes,2379709754.0,2231132906.0,115268735.0,12624514.0,
68,PacifiCare Life and Health Insurance Co,Alabama,11522,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
69,New Health Ventures Inc,Colorado,11555,921.0,,205000.0,99153.0,,"$205,000.00 ","$99,152.72 ",$-,No,868031.0,826272.0,614988.0,9813.0,0.0
