Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsuance Per Member Month Individual,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
"Health Care Service Corporation, a Mutual Legal Reserve Company",Texas,33602,11485974,8594675,636679179,38571557.86,11386899.21,"$636,984,705.00 ","$38,571,557.86 ","$11,386,899.21 ",Yes,55.43101343,55.45761335,3.358144278,3.358144278,1.324878394,1.324878394,0.026599921,0,0
"Kaiser Foundation Health Plan, Inc.",California,40513,7551901,8079938,193562111,-82078859,-86670688,"$193,662,847.01 ","($82,078,859.73)","($86,677,086.30)",Yes,25.63091214,25.6442513,-10.86863546,-10.86863556,-10.72665261,-10.72744448,0.013339159,-9.66644E-08,-0.000791875
"Oxford Health Insurance, Inc.",New York,85629,175060,4079290,0,2034110.89,203706368.3,N/E,$-,"$315,374,419.88 ",No,0,#VALUE!,11.61950697,#VALUE!,49.93672141,77.31110558,#VALUE!,#VALUE!,27.37438416
"Health Care Service Corporation, a Mutual Legal Reserve Company",Illinois,36096,6478135,4030984,283480714,17399841,8947232,"$283,514,429.00 ","$23,056,950.67 ","$10,877,027.26 ",Yes,43.75961816,43.76482259,2.685933683,3.559195767,2.219614863,2.698355354,0.00520443,0.873262084,0.478740491
Blue Cross of California,California,27603,7358067,3947887,324961807.8,-26380560.05,98215060.29,"$324,481,782.24 ","($26,380,560.05)","$98,210,694.17 ",No,44.16401859,44.0987806,-3.585256841,-3.585256841,24.87788032,24.87677438,-0.065237998,0,-0.001105938
Community Insurance Company,Ohio,29276,941870,3304314,18997897.59,19027175.55,14407578.76,"$19,003,555.17 ","$19,027,175.55 ","$14,407,578.76 ",No,20.17040312,20.17640988,20.20148805,20.20148805,4.360232944,4.360232944,0.006006753,0,0
"Horizon Healthcare Services, Inc.",New Jersey,91661,2105500,3205623,85519013,-62882998,36636642,"$85,563,520.22 ","($62,882,998.27)","$36,636,642.31 ",Yes,40.61696177,40.63810032,-29.86606412,-29.86606425,11.42886796,11.42886806,0.021138551,-1.28236E-07,9.67051E-08
Blue Cross and Blue Shield of Alabama,Alabama,46944,2535110,2748598,96795298,13434647,1891994,"$96,845,673.52 ","$13,434,646.95 ","$1,891,994.10 ",Yes,38.1818927,38.20176384,5.299433555,5.299433535,0.688348751,0.688348787,0.019871138,-1.9723E-08,3.63822E-08
Medical Mutual of Ohio,Ohio,80627,1180859,2665189,28191766.43,6545046.13,4026922.8,"$28,206,438.29 ","$6,545,046.13 ","$4,026,922.80 ",No,23.87394806,23.88637279,5.542614427,5.542614427,1.510933296,1.510933296,0.012424735,0,0
UnitedHealthcare Insurance Company,Texas,98809,20042,2517196,0,-181402.12,1077528.17,N/E,$-,"$896,126.05 ",No,0,#VALUE!,-9.051098693,#VALUE!,0.428066853,0.356001698,#VALUE!,#VALUE!,-0.072065155
"BlueCross BlueShield of Tennessee, Inc.",Tennessee,14002,2916902,2375943,125208363,22571331,5242634,"$125,248,679.99 ","$22,571,330.93 ","$5,242,633.55 ",Yes,42.92511816,42.93894001,7.738117702,7.738117678,2.206548726,2.206548537,0.013821853,-2.39981E-08,-1.89398E-07
"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",Massachusetts,42690,592588,2375271,35227619.21,8067126,33479849,"$35,245,952.75 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,59.44706813,59.47800622,13.61338063,#VALUE!,14.09517019,#VALUE!,0.030938089,#VALUE!,#VALUE!
California Physicians Service,California,70285,6984408,2367193,282181733,181516599,19826490,"$282,147,399.11 ","$181,516,598.98 ","$19,822,043.90 ",Yes,40.40166797,40.39675218,25.98883098,25.98883098,8.375527471,8.373649255,-0.004915791,-2.86352E-09,-0.001878216
"Excellus Health Plan, Inc",New York,78124,334217,2172610,20299131.47,39045850.4,-2719871.69,"$20,303,711.74 ","$44,746,473.20 ","($2,719,871.69)",Yes,60.73638226,60.75008674,116.8278406,133.8844918,-1.251891361,-1.251891361,0.013704479,17.05665122,0
Blue Cross Blue Shield of Michigan Mutual Insurance Company,Michigan,15560,1553522,2089156,79260623.26,79246388.6,10801181.83,"$79,301,872.92 ","$84,043,000.54 ","$11,876,518.15 ",Yes,51.01995547,51.04650782,51.01079264,54.09836522,5.170117421,5.684840266,0.02655235,3.087572587,0.514722845
"Blue Cross and Blue Shield of Florida, Inc.",Florida,16842,6204216,2084681,203599485,368933331,8102147,"$203,698,387.46 ","$368,933,330.53 ","$8,102,147.17 ",No,32.81631152,32.83225269,59.46493981,59.46493973,3.88651645,3.886516532,0.01594117,-7.57549E-08,8.15472E-08
Blue Cross and Blue Shield of North Carolina,North Carolina,11512,6595736,1960188,222501830,67566338,15759734,"$222,234,005.55 ","$67,566,338.19 ","$15,759,733.78 ",Yes,33.73419282,33.69358712,10.24394215,10.24394218,8.039909437,8.039909325,-0.040605696,2.88065E-08,-1.12234E-07
Louisiana Health Service and Indemnity Company,Louisiana,97176,1471589,1880339,59732789.29,65621568.01,7790375.69,"$59,752,232.01 ","$67,544,981.11 ","$7,830,648.73 ",Yes,40.59067395,40.60388601,44.59232028,45.89935173,4.143069782,4.164487749,0.013212059,1.307031447,0.021417968
Blue Shield of California Life & Health Insurance Company,California,80046,594719,1833113,,,,,,,No,0,0,0,0,0,0,0,0,0
"CareFirst BlueChoice, Inc.",Maryland,28137,1994245,1797148,59853999.66,-16434375.81,6517476.14,"$59,885,149.52 ","($16,434,375.57)","$6,517,475.95 ",No,30.01336328,30.02898316,-8.240901098,-8.240900978,3.62656617,3.626566065,0.015619876,1.20346E-07,-1.05723E-07
"Health Net of California, Inc",California,67138,2736915,1788573,41878401.12,-125635856,-9524829,"$41,900,195.93 ","($125,635,855.94)","($9,525,637.47)",No,15.30131594,15.30927922,-45.90418628,-45.90418626,-5.325378947,-5.325830967,0.007963276,2.19225E-08,-0.00045202
"Anthem Insurance Companies, Inc.",Indiana,17575,1348881,1731779,57438446.51,-13429318.84,7055751.04,"$57,453,698.83 ","($13,429,318.84)","$6,782,799.40 ",No,42.5822934,42.59360079,-9.955895917,-9.955895917,4.074279131,3.916665695,0.011307387,0,-0.157613437
Premera Blue Cross,Washington,49831,1100658,1667756,60139891,18747955,-16440582,"$60,171,189.80 ","$18,747,955.38 ","($16,440,582.27)",Yes,54.63994356,54.66838001,17.03340638,17.03340673,-9.857906073,-9.857906234,0.028436444,3.45248E-07,-1.61894E-07
