,Unnamed: 0_x,CompanyName:_x,BusinessintheStateof:_x,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:_x,MEMBER_MONTHS_SMALL_GROUP_x,EXPECTED_REINSURANCE_x,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_x,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_x,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_x,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_x",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_x,Not-For-Profit:_x,Premium_x,Loss1_x,Loss2_x,Loss3_x,Loss4_x,TotalProfitPMM,CompanyName:_y,BusinessintheStateof:_y,MEMBER_MONTHS_INDIVIDUAL:_y,MEMBER_MONTHS_SMALL_GROUP_y,EXPECTED_REINSURANCE_y,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_y,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_y,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_y,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_y",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_y,Not-For-Profit:_y,Premium_y,Loss1_y,Loss2_y,Loss3_y,Loss4_y,DifferenceInIRAPMM
0,0,Unified Life Insurance Company,South Carolina,10018,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!,Unified Life Insurance Company,South Carolina,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
2,2,Union Security Insurance Company,Texas,10055,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Union Security Insurance Company,Texas,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
3,4,The Prudential Insurance Company of America,Iowa,10083,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Iowa,,,,,,,,,No,,,,,,#DIV/0!
5,6,Connecticut General Life Insurance Company,Nebraska,10161,0,0,0,0,0,,,,No,0,-20,0,0,0,#DIV/0!,Connecticut General Life Insurance Company,Nebraska,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
8,9,Union Fidelity Life Insurance Company,Delaware,10192,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,Delaware,,,,,,,,,No,,,,,,#DIV/0!
10,11,Transamerica Life Insurance Company,Iowa,10201,,,,,,,,,No,,,,,,#DIV/0!,Transamerica Life Insurance Company,Iowa,,,,,,,,,No,,,,,,#DIV/0!
12,13,Central United Life Insurance Company,Missouri,10219,,,,,,,,,No,,,,,,#DIV/0!,Central United Life Insurance Company,Missouri,,,,,,,,,No,,,,,,#DIV/0!
16,18,Thrivent Financial for Lutherans,Arkansas,10354,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,Arkansas,,,,,,,,,No,,,,,,#DIV/0!
17,19,Thrivent Financial for Lutherans,California,10360,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,California,,,,,,,,,No,,,,,,#DIV/0!
18,20,Transamerica Life Insurance Company,South Carolina,10390,,,,,,,,,No,,,,,,#DIV/0!,Transamerica Life Insurance Company,South Carolina,,,,,,,,,No,,,,,,#DIV/0!
19,21,Union Labor Life Insurance Company,Ohio,10421,11,,,,,,,,No,149,0,,,,13.54545455,Union Labor Life Insurance Company,Ohio,,,,,,,,,No,0,0,,,,#DIV/0!
21,24,The Prudential Insurance Company of America,Missouri,10466,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Missouri,,,,,,,,,No,,,,,,#DIV/0!
22,25,Trustmark Insurance Company,New Mexico,10508,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,New Mexico,,,,,,,,,No,,,,,,#DIV/0!
26,29,American Republic Insurance Company,Missouri,10676,,,,,,,,,No,,,,,,#DIV/0!,American Republic Insurance Company,Missouri,,,,,,,,,No,,,,,,#DIV/0!
27,31,Trustmark Insurance Company,Ohio,10709,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,Ohio,,,,,,,,,No,,,,,,#DIV/0!
29,33,Union Security Insurance Company,Arkansas,10754,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Union Security Insurance Company,Arkansas,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
31,35,Pekin Life Insurance Company,Nebraska,10818,,,,,,,,,No,0,0,,,,#DIV/0!,Pekin Life Insurance Company,Nebraska,,,,,,,,,No,0,0,,,,#DIV/0!
33,38,American General Life Insurance Company,District of Columbia,10923,0,,,,,,,,No,0,0,,,,#DIV/0!,American General Life Insurance Company,District of Columbia,0,,,,,,,,No,0,0,,,,#DIV/0!
36,41,Central United Life Insurance Company,Maryland,11012,,,,,,,,,No,,40419,,,,#DIV/0!,Central United Life Insurance Company,Maryland,,,,,,,,,No,,,,,,#DIV/0!
37,42,Trustmark Life Insurance Company,Nevada,11015,,4955,,0,0,,,,No,0,0,0,0,0,#DIV/0!,Trustmark Life Insurance Company,Nevada,0,0,,0,0,,,,No,0,0,0,0,0,#DIV/0!
38,43,Unified Life Insurance Company,South Dakota,11077,0,,0,0,,,,,No,1290.61,0,0,0,0,#DIV/0!,Unified Life Insurance Company,South Dakota,0,,0,0,,,,,No,0,-689.61,0,0,0,#DIV/0!
39,44,TransAmerica Premier Life Insurance,Pennsylvania,11078,0,,,,,,,,No,0,,,,,#DIV/0!,TransAmerica Premier Life Insurance,Pennsylvania,,,,,,,,,No,0,0,,,,#DIV/0!
41,46,Federated Mutual Insurance Company,Indiana,11104,17,109683,0,0,-22411.92,,,"($22,411.92)",No,10833.64,1163.2,0,0,0,568.8494118,Federated Mutual Insurance Company,Indiana,0,124892,0,0,-489371.87,,,"($542,240.33)",No,0,0,0,0,0,#DIV/0!
42,47,American Income Life Insurance Co,Colorado,11109,,,,,,,,,No,0,0,,,,#DIV/0!,American Income Life Insurance Co,Colorado,,,,,,,,,No,0,0,,,,#DIV/0!
43,48,Liberty Mutual Insurance Company,Nevada,11119,,,,,,,,,No,,,,,,#DIV/0!,Liberty Mutual Insurance Company,Nevada,,,,,,,,,No,,,,,,#DIV/0!
46,52,American Income Life Insurance Co,Oklahoma,11230,,,,,,,,,No,0,0,,,,#DIV/0!,American Income Life Insurance Co,Oklahoma,,,,,,,,,No,0,0,,,,#DIV/0!
48,54,Union Security Insurance Company,Nevada,11262,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Union Security Insurance Company,Nevada,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
49,55,Reserve National Insurance Company,Indiana,11265,,,,,,,,,No,0,0,,,,#DIV/0!,Reserve National Insurance Company,Indiana,,,,,,,,,No,0,0,,,,#DIV/0!
