TotalProfitPMM,DifferenceInIRAPMM
#DIV/0!,#DIV/0!
101.8952336,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-81.87579237,-43.12593242
#DIV/0!,#DIV/0!
-99.55,0
20.09334017,344.7154736
#DIV/0!,#DIV/0!
3.055555556,0
#DIV/0!,#DIV/0!
1.181375031,-8.266791643
#DIV/0!,#DIV/0!
19.50363783,0
120.8455771,0
15.04573171,-8.601041009
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
13.54545455,#DIV/0!
181.0416667,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
4.931666667,0
-75.79166667,0
10.70833333,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
191.9519569,0
#DIV/0!,#DIV/0!
4.138888889,0
#DIV/0!,#DIV/0!
-183.078672,263.5446077
#DIV/0!,#DIV/0!
-105.9190679,-105.7281579
16.48303957,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
61.30748791,6.720835025
568.8494118,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
2.491333257,-28.50793344
-359.52,0
#DIV/0!,#DIV/0!
-0.884883276,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-58.31343284,0
-1.711218681,42.21026939
-62.52254381,0
#DIV/0!,#DIV/0!
231.4749962,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
91.71659919,0
#DIV/0!,#DIV/0!
-5.422094508,0
#DIV/0!,#DIV/0!
3.3039906,-6.752227123
-633.053203,82.28844501
#DIV/0!,#DIV/0!
230.4775384,257.650964
#DIV/0!,#DIV/0!
0.963541667,0
-51.3148474,0
#DIV/0!,#DIV/0!
287.6544118,0
-16.17023557,3.144795715
67.3325,#DIV/0!
0,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-314.9270249,0
#DIV/0!,#DIV/0!
-110.6877193,0
-7.832755057,-22.69833882
-747.7785199,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
6.87536036,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
268.699006,0
-27.76315156,0
#DIV/0!,#DIV/0!
132.8585515,0
-530.4006276,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-475.0514481,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
35.3275,0
6068,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
4.625,0
0.632234144,0
373,0
1456.466667,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-242.3950039,0
104.5236203,#DIV/0!
#DIV/0!,#DIV/0!
2.285537701,0
-1531.547752,-122.0761852
44.26958749,#DIV/0!
#DIV/0!,#DIV/0!
14.08118081,0
-37.04010727,-35.96058175
#DIV/0!,#DIV/0!
-71.5680064,40.03938941
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
5.514492754,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.179841071,0
-91.88532927,24.85425433
#DIV/0!,#DIV/0!
-101.415829,0
-157.3426986,33.78571429
#DIV/0!,#DIV/0!
-78.53551886,-8.463721896
#DIV/0!,#DIV/0!
16.94749043,-15.47167064
8.913411102,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
0,#DIV/0!
80.43894737,0
-6.713161788,40.20901235
-0.134551495,0
2.257122507,0
33.91344718,0
56.07741122,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
2.639556277,0
171.6612466,0
#DIV/0!,#DIV/0!
281.1282051,#DIV/0!
5.003445108,0
23.7244898,#DIV/0!
#DIV/0!,#DIV/0!
-2.708267448,-22.73992559
28.5213,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.02238806,0
728.8333333,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
105.8889803,0
63.09090909,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.186488041,-31.19150633
3.065238494,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
4.881481755,-14.19035558
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
27.26622524,49.26020515
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-24.59109944,-18.19774539
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
2179,#DIV/0!
#DIV/0!,#DIV/0!
