Name,State,HIOS,MMI,ERAI,ARAI,Premium,Loss1,Loss2,Loss3,Loss4,ERAIPMM,ARAIPMM,Diff,TotalLoss
Celtic Insurance Company,Wyoming,49290,29.00,-16001.90,-16001.90,36265.10,134.49,0.00,0.00,0.00,-551.79,-551.79,1.00,1245.88
Celtic Insurance Company,South Carolina,60067,37.00,-15590.20,-15590.17,30387.80,-343.89,0.00,0.00,0.00,-421.36,-421.36,1.00,830.59
Celtic Insurance Company,Michigan,35443,3.00,-633.00,-633.00,57595.00,-39.04,0.00,0.00,0.00,-211.00,-211.00,1.00,19211.35
Celtic Insurance Company,Indiana,76179,39.00,-7885.97,-7885.97,83933.03,16460.11,0.00,0.00,0.00,-202.20,-202.20,1.00,1730.07
Celtic Insurance Company,Wisconsin,44197,24.00,-4592.60,-4592.60,43871.40,5496.43,228.00,44.00,0.00,-191.36,-191.36,1.00,1587.62
"Meridian Health Plan of Michigan, Inc.",Michigan,58594,127.00,-23501.00,-23501.09,12711.00,2868.02,148.00,0.00,0.00,-185.05,-185.05,1.00,76.34
Physicians Health Plan,Michigan,60829,443.00,-76724.00,-76724.32,143410.00,117623.00,40753.00,4740.00,,-173.19,-173.19,1.00,-44.48
Memorial Hermann Health Insurance Company,Texas,30609,74.00,,-11442.15,28543.00,54726.00,1992.00,11.00,,0.00,-154.62,#DIV/0!,-380.89
Trillium Community Health Plan,Oregon,95417,17.00,0.00,-2613.45,12226.00,3613.64,654.00,0.00,0.00,0.00,-153.73,#DIV/0!,468.14
Celtic Insurance Company,Missouri,99723,28.00,-4177.67,-4177.67,31899.33,-217.60,0.00,0.00,0.00,-149.20,-149.20,1.00,1147.03
Celtic Insurance Company,Ohio,62352,43.00,-6348.32,-6348.32,94243.68,12412.93,452.00,88.00,0.00,-147.64,-147.64,1.00,1890.48
Celtic Insurance Company,Tennessee,70111,22.00,-3104.66,-3104.66,14956.34,660.57,198.00,38.00,0.00,-141.12,-141.12,1.00,639.08
MetroPlus Health Plan,New York,11177,399516.00,-54020697.93,-54033594.10,101544163.50,77121222.22,23159541.42,268072.36,0.00,-135.22,-135.25,1.00,2.49
Local Initiative Health Authority for Los Angeles County,California,92815,240012.00,-31742828.00,-31742828.09,66111108.00,47084780.00,2817750.00,53558.00,,-132.26,-132.26,1.00,67.31
MOLINA HEALTHCARE OF CALIFORNIA,California,18126,71865.00,-9072047.00,-9072047.23,12868821.00,8163374.00,548200.00,31524.00,0.00,-126.24,-126.24,1.00,57.41
Chinese Community Health Plan,California,47579,141014.00,-16711278.78,-16711278.79,45381534.76,29949706.93,,,,-118.51,-118.51,1.00,109.43
HealthSpan Integrated Care,Ohio,20126,90538.00,-9566204.00,-9566203.90,30258313.00,27408056.00,2645218.00,234666.00,0.00,-105.66,-105.66,1.00,-0.33
Coordinated Care Corporation Indiana,Washington,61836,232541.00,-24258945.68,-24258945.68,50065838.14,34938041.98,4146854.16,93410.46,0.00,-104.32,-104.32,1.00,46.82
"Avera Health Plans, Inc. ",Iowa,74980,448.00,-46538.00,-46538.07,294020.00,307296.15,36359.00,241.00,0.00,-103.88,-103.88,1.00,-111.33
"Preferred Medical Plan, Inc.",Florida,51398,944021.00,-97122696.00,-97122695.74,239901154.70,213208157.60,8422811.00,180014.16,0.00,-102.88,-102.88,1.00,19.16
"AmeriHealth HMO, Inc.",New Jersey,77606,258158.00,-23904728.00,-24464783.28,98642745.00,86780918.26,598360.00,59441.00,,-92.60,-94.77,1.02,43.40
"Humana Medical Plan of Michigan, Inc.",Michigan,46275,269299.00,-25129449.51,-25129449.51,56331427.35,54511335.35,3784271.32,115597.95,240.00,-93.31,-93.31,1.00,-7.72
"Affinity Health Plan, Inc.",New York,57165,23258.00,-2140842.76,-2141766.08,9893609.00,9224831.00,2464842.00,34648.00,0.00,-92.05,-92.09,1.00,-78.71
Aetna Health of Utah Inc.,Nevada,65779,12700.00,-1158344.58,-1158344.59,1149524.42,1288034.99,326890.36,18979.92,0.00,-91.21,-91.21,1.00,-38.14
Common Ground Healthcare Cooperative,Wisconsin,87416,241900.00,-21936045.00,-21936044.54,117170918.00,157754750.00,21120950.00,800864.00,,-90.68,-90.68,1.00,-258.39
HealthSpan,Ohio,92036,47842.00,-4194646.00,-4194646.37,20421502.71,18659412.00,3263710.00,0.00,0.00,-87.68,-87.68,1.00,-31.39
"Evergreen Health Cooperative, Inc.",Maryland,72564,4194.00,-360466.00,-360466.32,1676715.00,2251799.65,,,236894.00,-85.95,-85.95,1.00,-193.60
Celtic Insurance Company,Montana,16621,7.00,-586.80,-586.80,26998.20,4669.24,0.00,0.00,0.00,-83.83,-83.83,1.00,3189.85
"Humana Medical Plan of Utah, Inc.",Utah,56764,119232.00,-9861880.07,-9861880.07,26287988.17,24774017.66,1972517.12,77949.06,1093.00,-82.71,-82.71,1.00,-4.51
Peach State Health Plan,Georgia,45495,45349.00,-3689629.38,-3689629.38,11153251.36,9247521.50,2230574.24,43471.55,0.00,-81.36,-81.36,1.00,-8.12
"New York State Catholic Health Plan, Inc.",New York,25303,482840.00,-37492161.78,-37511467.39,139613487.00,111950287.60,22880640.71,868831.00,0.00,-77.65,-77.69,1.00,8.11
"Coventry Health Care of Fl., Inc.",Florida,57451,2194518.00,-160958367.10,-160958367.07,575051008.70,505332831.50,70629692.99,4207739.73,0.00,-73.35,-73.35,1.00,-2.33
Colorado Choice Health Plans,Colorado,63312,63856.00,-4578461.00,-4578461.04,30928038.00,29458165.00,3505113.00,112168.00,,-71.70,-71.70,1.00,-33.63
Medica Health Plans of Wisconsin,Wisconsin,57845,33965.00,-2323453.55,-2323453.55,19875079.17,14752671.73,,,,-68.41,-68.41,1.00,150.81
WINhealth Partners,Wyoming,53189,89500.00,-6063477.00,-6063477.37,58660132.00,55870252.00,5735440.00,62567.00,,-67.75,-67.75,1.00,-33.61
"Louisiana Health Cooperative, Inc.",Louisiana,67202,110861.00,-7456986.00,-7456986.26,55622911.07,56988875.59,6481284.44,2215.05,0.00,-67.26,-67.26,1.00,-70.80
New Mexico Health Connections,New Mexico,93091,72246.00,-4834622.00,-4834621.72,24240961.00,20102873.00,3819465.00,91495.00,,-66.92,-66.92,1.00,3.14
Superior Health Plan,Texas,87226,14103.00,-933830.98,-933830.98,3562838.99,2962415.37,741716.76,15074.18,0.00,-66.22,-66.22,1.00,-11.09
"Coordinated Health Mutual, Inc.",Ohio,16204,19320.00,-1262070.00,-1262069.95,5254135.00,6902111.00,,,,-65.32,-65.32,1.00,-85.30
"Moda Health Plan, Inc.",Alaska,73836,78624.00,-4806964.00,-4806964.11,43117872.00,46525522.00,2726829.00,23498.00,,-61.14,-61.14,1.00,-78.32
Sunshine State Health Plan,Florida,86382,3460.00,-198355.63,-198355.63,599864.53,532646.86,103665.55,2433.14,0.00,-57.33,-57.33,1.00,-11.24
"HMO Colorado, Inc., dba HMO Nevada",Nevada,60156,72009.00,-4049115.00,-4049114.37,24325096.19,18526521.51,3078091.86,200559.38,0.00,-56.23,-56.23,1.00,34.99
"Kaiser Foundation Health Plan, Inc.",Hawaii,60612,185604.00,-10430372.00,-10430372.26,54192683.00,49630666.00,7112466.00,326737.00,0.00,-56.20,-56.20,1.00,-15.50
"Sendero Health Plans, inc.",Texas,71837,36372.00,-1995207.16,-1992571.72,10333092.80,9210273.55,2019682.00,84720.57,,-54.86,-54.78,1.00,-26.99
"Harvard Pilgrim Health Care, Inc.",Maine,96667,1320.00,-72007.00,-72007.16,475370.00,599101.26,96373.00,6938.00,1815.00,-54.55,-54.55,1.00,-173.38
Oscar Insurance Corporation,New York,74289,150231.00,-8073821.58,-8073821.58,76934797.19,69112720.36,10271537.00,490974.00,1953941.00,-53.74,-53.74,1.00,-32.58
Magnolia Health Plan,Mississippi,94237,126016.00,-6560626.86,-6560626.86,49789859.08,31828143.15,6277954.77,120922.52,0.00,-52.06,-52.06,1.00,91.76
"Gundersen Health Plan, Inc.",Iowa,27651,382.00,-19844.00,-19844.29,420587.00,431160.00,33718.00,2707.00,,-51.95,-51.95,1.00,-123.03
Health Choice Insurance Co.,Arizona,70239,4697.00,-243631.04,-243631.04,3506445.47,3639322.68,1230310.32,31766.74,,-51.87,-51.87,1.00,-296.99
Coordinated Care Corporation Indiana,Indiana,35065,6286.00,-323051.82,-323051.82,2374785.36,1946143.99,483552.41,9918.34,0.00,-51.39,-51.39,1.00,-10.31
"Humana Health Plan of Ohio, Inc.",Ohio,66083,127142.00,-6379256.85,-6379256.85,50157863.94,47386987.32,4748464.77,192922.39,3145.00,-50.17,-50.17,1.00,-17.10
"Health Net of California, Inc",California,67138,2002237.00,-100186994.00,-100186993.89,601287629.00,476139478.00,45147343.00,3620752.00,,-50.04,-50.04,1.00,38.15
Neighborhood Health Plan of Rhode Island,Rhode Island,77514,11408.00,-570729.75,-570729.75,2776472.36,1975782.14,476856.46,11077.08,,-50.03,-50.03,1.00,27.42
"Coventry Health Care of Kansas, Inc.",Kansas,65598,124536.00,-5910292.02,-5910292.03,39834156.39,37457719.59,4973488.91,303352.38,0.00,-47.46,-47.46,1.00,-23.29
"Health Net of Arizona, Inc",Arizona,91450,567847.00,-26088803.00,-26088803.10,166974393.00,170970269.00,20641385.00,1693027.00,,-45.94,-45.94,1.00,-46.37
"Kaiser Foundation Health Plan of Mid-Atlantic States, Inc.",Virginia,95185,250366.00,-11219948.00,-11219947.68,84284959.00,78063723.00,11607292.00,845083.00,0.00,-44.81,-44.81,1.00,-24.89
Keystone Health Plan East,Pennsylvania,33871,1365965.00,-61020486.00,-61020486.20,455352488.00,419745377.20,7172202.00,500445.00,,-44.67,-44.67,1.00,20.45
"Humana Health Plan of Texas, Inc. ",Texas,32673,870873.00,-38610710.60,-38610710.60,315544213.50,305803472.20,35455789.88,1678318.98,11140940.00,-44.34,-44.34,1.00,-44.25
Innovation Health Insurance Company,Virginia,12028,250797.00,-10851778.45,-10851778.45,76191224.96,65164565.20,12578670.44,412361.74,59.05,-43.27,-43.27,1.00,-7.83
Medica Insurance Company,Minnesota,31616,271330.00,-11637872.80,-11637872.80,58737633.19,48327689.36,,,,-42.89,-42.89,1.00,38.37
"Coventry Health Care of Delaware, Inc.",Delaware,81914,10111.00,-427183.66,-427183.66,3808716.46,2716606.48,503350.61,34063.00,0.00,-42.25,-42.25,1.00,54.86
Time Insurance Company,Alaska,38596,21876.00,-922848.00,-922848.49,7669817.00,6996763.00,466841.00,25472.00,-13972.00,-42.19,-42.19,1.00,8.90
"ConnectiCare, Insurance Company Inc",Connecticut,94815,263102.00,-10949000.00,-10948959.34,95931000.00,81056000.00,13490799.00,1290580.00,,-41.62,-41.61,1.00,0.36
Medica Health Plans,North Dakota,73751,19468.00,-807481.69,-807481.69,6350760.78,5644879.94,,,,-41.48,-41.48,1.00,36.26
Kaiser Foundation Health Plan of Colorado,Colorado,21032,819397.00,-33664831.00,-33664830.89,257699268.00,219954806.00,27149459.00,1096034.00,0.00,-41.08,-41.08,1.00,11.59
Coventry Health & Life Insurance Company,Illinois,35670,64001.00,-2604833.07,-2604833.08,16638830.31,13080518.26,2469676.33,149554.36,0.00,-40.70,-40.70,1.00,14.67
"Humana Medical Plan, Inc. ",Florida,35783,1990616.00,-80860989.32,-80860989.32,682245553.20,646221477.60,51250994.36,2562370.10,3658.00,-40.62,-40.62,1.00,-8.94
"Healthfirst PHSP, Inc.",New York,91237,66274.00,-2649558.00,-2649557.85,30752558.00,29002425.00,7263211.00,-198288.00,,-39.98,-39.98,1.00,-80.19
Blue Care Network,Michigan,98185,1191387.00,-47134095.64,-47134095.64,362965018.40,341579271.00,38896945.00,2813333.00,0.00,-39.56,-39.56,1.00,-17.06
"QCA Health Plan, Inc.",Arkansas,70525,157507.00,-5950323.41,-5943287.09,45684812.64,46343131.76,4981949.48,123772.45,0.00,-37.78,-37.73,1.00,-36.60
Coventry Health & Life Insurance Company,Ohio,98894,62177.00,-2282003.25,-2282003.25,23879978.01,20047835.17,2987390.81,158778.44,0.00,-36.70,-36.70,1.00,11.03
"HMO Louisiana, Inc.",Louisiana,19636,337975.00,-12245987.00,-12245987.34,125929486.00,107922906.00,24895647.00,2396051.00,,-36.23,-36.23,1.00,-27.47
BridgeSpan Health Company,Utah,34541,27049.00,-938474.00,-938474.23,9231395.00,11549848.00,1482007.00,10162.00,,-34.70,-34.70,1.00,-140.88
Aetna Health of Utah Inc.,Idaho,61175,721.00,-24771.68,-24771.68,142903.66,195892.95,17880.04,1268.13,0.00,-34.36,-34.36,1.00,-100.05
AmeriHealth Insurance Company of New Jersey,New Jersey,91762,796319.00,-25466472.00,-27270588.68,374640738.00,281115769.30,1504567.00,125776.00,,-31.98,-34.25,1.07,115.40
