,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:,Premium,Loss1,Loss2,Loss3,Loss4
0,Unified Life Insurance Company,South Carolina,10018,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
1,American National Life Insurance Company of Texas,Maryland,10029,75.0,,,,,,,,No,52369.74,9726.84,,,
2,Union Security Insurance Company,Texas,10055,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
3,The Prudential Insurance Company of America,Iowa,10083,,,,,,,,,No,,,,,
4,PacificSource Health Plans,Oregon,10091,94382.0,289647.0,8478959.06,6385295.65,-263011.36,"$8,483,371.78 ","$6,385,295.65 ","($263,011.36)",Yes,50682176.71,54917003.46,9947327.0,554816.0,
5,Connecticut General Life Insurance Company,Nebraska,10161,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
6,Kanawha Insurance Company ,Washington,10188,110.0,,,,,,,,No,3349.0,1475.0,0.0,0.0,0.0
7,Freelancers CO-OP of New Jersey,New Jersey,10191,563748.0,55523.0,25505469.21,-38582686.31,-7735504.78,"$25,518,743.04 ","($38,582,686.31)","($7,735,504.78)",No,214828625.9,210816361.0,28990408.0,875486.0,
8,Union Fidelity Life Insurance Company,Delaware,10192,,,,,,,,,No,,,,,
9,Wilton Reassurance Company,Delaware,10198,15.0,,,,,,,,No,17.0,0.0,,,
10,Transamerica Life Insurance Company,Iowa,10201,,,,,,,,,No,,,,,
11,"CareFirst BlueChoice, Inc.",Virginia,10207,291585.0,450153.0,9089003.13,-4690047.93,-4863412.72,"$9,093,733.33 ","($4,690,047.91)","($4,863,412.73)",No,92645573.36,84564349.17,21326707.85,2750256.22,0.0
12,Central United Life Insurance Company,Missouri,10219,,,,,,,,,No,,,,,
13,The United States Life Ins. Co. in the City of New York,Kansas,10236,2126.0,,,,,,,,No,85093.0,44305.0,0.0,0.0,0.0
14,Mid-West National Life Insurance Company of Tennessee,Tennessee,10255,2323.0,3.0,0.0,0.0,0.0,,,,No,641654.0,395026.5309,18652.32895,14113.297690000001,16.19
15,Freedom Life Insurance Company of America,Nebraska,10324,317.0,,0.0,2726.53,,$0.00 ,"$4,484.41 ",$-,No,44590.53,31226.0,0.0,0.0,0.0
16,Thrivent Financial for Lutherans,Arkansas,10354,,,,,,,,,No,,,,,
17,Thrivent Financial for Lutherans,California,10360,,,,,,,,,No,,,,,
18,Transamerica Life Insurance Company,South Carolina,10390,,,,,,,,,No,,,,,
19,Union Labor Life Insurance Company,Ohio,10421,,,,,,,,,No,0.0,0.0,,,
20,Life of America,Oklahoma,10463,24.0,,,,,,,,No,4345.0,0.0,,,
21,The Prudential Insurance Company of America,Missouri,10466,,,,,,,,,No,,,,,
22,Trustmark Insurance Company,New Mexico,10508,,,,,,,,,No,,,,,
23,Unified Life Insurance Company,Pennsylvania,10545,144.0,,0.0,0.0,,,,,No,611.61,-186.77,0.0,0.0,0.0
24,National Foundation Life Insurance Company,Rhode Island,10575,24.0,,0.0,0.0,,,,,No,1197440.36,1554.0,0.0,0.0,0.0
25,United Teachers Associates,Wisconsin,10641,24.0,,,,,,,,No,0.0,-15.0,,,
26,American Republic Insurance Company,Missouri,10676,,,,,,,,,No,,,,,
27,Trustmark Insurance Company,Ohio,10709,,,,,,,,,No,,,,,
28,State Farm Mutual Automobile Insurance Company,North Dakota,10751,376.0,0.0,0.0,0.0,0.0,,,,No,204828.07,262336.27,0.0,0.0,0.0
29,Union Security Insurance Company,Arkansas,10754,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
30,United Teachers Associates,Texas,10805,24.0,,,,,,,,No,0.0,-11.0,,,
31,Pekin Life Insurance Company,Nebraska,10818,,,,,,,,,No,0.0,0.0,,,
32,Celtic Insurance Company,Pennsylvania,10842,9.0,,0.0,-2443.12,,$0.00 ,"($2,443.12)",$-,No,-1084.19,15054.80201,1.7175734219999998,10.00703242,0.0
33,American General Life Insurance Company,District of Columbia,10923,0.0,,,,,,,,No,0.0,0.0,,,
34,"Health Net Health Plan of Oregon, Inc",Oregon,10940,19103.0,257570.0,1854766.0,3408187.0,45711.0,"$1,855,731.14 ","$3,408,186.75 ","$45,710.69 ",No,13533611.0,14324515.0,2910568.0,231908.0,
35,UnitedHealthcare Insurance Company of the River Valley,Tennessee,10958,2218.0,482901.0,0.0,0.0,-4628908.57,N/E,$-,"($4,628,908.57)",No,899910.21,547940.29,99864.48,40965.58,0.0
36,Central United Life Insurance Company,Maryland,11012,,,,,,,,,No,,,,,
37,Trustmark Life Insurance Company,Nevada,11015,0.0,0.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
38,Unified Life Insurance Company,South Dakota,11077,0.0,,0.0,0.0,,,,,No,0.0,-689.61,0.0,0.0,0.0
39,TransAmerica Premier Life Insurance,Pennsylvania,11078,,,,,,,,,No,0.0,0.0,,,
40,Aetna Life Insurance Company,Alaska,11082,2906.0,21271.0,0.0,-34550.55,557129.07,$0.00 ,"($34,550.55)","$557,129.08 ",No,923880.79,462786.99,68553.76,11925.96,6208.49
41,Federated Mutual Insurance Company,Indiana,11104,0.0,124892.0,0.0,0.0,-489371.87,N/E,$-,"($542,240.33)",No,0.0,0.0,0.0,0.0,0.0
42,American Income Life Insurance Co,Colorado,11109,,,,,,,,,No,0.0,0.0,,,
43,Liberty Mutual Insurance Company,Nevada,11119,,,,,,,,,No,,,,,
44,MetroPlus Health Plan,New York,11177,286497.0,6620.0,5188576.67,-30571356.27,-1666323.89,"$5,191,276.87 ","($30,578,616.79)","($1,666,323.89)",No,90367760.57,82911394.42,32196623.93,885365.4087,0.0
45,Kanawha Insurance Company ,Utah,11197,75.0,,,,,,,,No,2169.0,5205.0,0.0,0.0,0.0
46,American Income Life Insurance Co,Oklahoma,11230,,,,,,,,,No,0.0,0.0,,,
47,Wilton Reassurance Company,Texas,11243,5160.0,,,,,,,,No,8288.0,33974.0,,,
48,Union Security Insurance Company,Nevada,11262,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
49,Reserve National Insurance Company,Indiana,11265,,,,,,,,,No,0.0,0.0,,,
50,Kanawha Insurance Company ,Indiana,11268,341.0,,,,,,,,No,8591.0,19702.0,0.0,0.0,0.0
51,Blue Cross Blue Shield of Wyoming,Wyoming,11269,211926.0,180632.0,12710342.0,1438733.0,-735311.0,"$12,716,956.74 ","$1,438,732.96 ","($735,310.56)",Yes,120573369.1,112604550.0,14829196.0,1703102.0,
52,Kanawha Insurance Company ,New York,11296,4572.0,,,,,,,,No,258112.0,753806.0,0.0,0.0,0.0
53,Liberty National Life Insurance Co,Colorado,11323,,,,,,,,,No,0.0,0.0,,,
54,State Farm Mutual Automobile Insurance Company,Arkansas,11343,881.0,0.0,0.0,0.0,0.0,,,,No,423310.49,355247.83,0.0,0.0,0.0
55,Reliance Standard Life Insurance Company,Utah,11348,,,,,,,,,No,0.0,0.0,,,
56,United American Insurance Co,Mississippi,11415,,,,,,,,,No,0.0,0.0,,,
57,United Teachers Associates,California,11440,228.0,,,,,,,,No,22003.0,43968.632139999994,,,
58,American Income Life Insurance Co,Arkansas,11450,,,,,,,,,No,0.0,0.0,,,
59,American General Life Insurance Company,Florida,11461,8736.0,,,,,,,,No,142684.0,212088.61,,,
60,Philadelphia American Life Insurance Company,Kansas,11483,,,,,,,,,No,,,,,
61,Blue Cross and Blue Shield of North Carolina,North Carolina,11512,6595736.0,1960188.0,222501830.0,67566338.0,15759734.0,"$222,234,005.55 ","$67,566,338.19 ","$15,759,733.78 ",Yes,2735621865.0,2480964788.0,473911815.0,64894886.0,
62,New Health Ventures Inc,Colorado,11555,4585.0,0.0,389660.27,116319.32,0.0,"$389,863.07 ","$173,278.24 ",$-,No,2143432.59,2504367.0,1294132.0,49293.24,0.0
63,Philadelphia American Life Insurance Company,Louisiana,11586,,,,,,,,,No,,,,,
64,"HPHC Insurance Company, Inc.",Maine,11593,3228.0,154215.0,405268.0,208585.0,2498772.0,"$405,479.23 ","$208,585.27 ","$2,498,771.66 ",No,1836583.18,2854907.905,0.0,0.0,8264.0
65,United Teachers Associates,Nevada,11600,0.0,,,,,,,,No,0.0,0.0,,,
66,Reserve National Insurance Company,Alaska,11605,,,,,,,,,No,0.0,0.0,,,
67,Wilton Reassurance Company,Virginia,11610,79.0,,,,,,,,No,70.0,0.0,,,
68,State Farm Mutual Automobile Insurance Company,Colorado,11613,1489.0,0.0,0.0,0.0,0.0,,,,No,697495.18,375760.14,0.0,0.0,0.0
69,Connecticut General Life Insurance Company,District of Columbia,11618,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-1.0,0.0,0.0,0.0
70,Philadelphia American Life Insurance Company,Pennsylvania,11663,534.0,12.0,,,,,,,No,238641.0,179851.0,,,
71,"BLUE CROSS & BLUE SHIELD OF MISSISSIPPI, A MUTUAL INSURANCE COMPANY",Mississippi,11721,793293.0,816408.0,8230686.0,2213376.0,27685.0,"$8,234,968.46 ","$2,213,375.40 ","$27,685.38 ",No,237719979.0,207890018.0,45612377.0,4775409.0,
72,Shelter Life Insurance Company,South Carolina,11722,0.0,0.0,0.0,0.0,0.0,,,,No,457.46,-416.0,0.0,0.0,0.0
73,AMERICAN FIDELITY ASSURANCE COMPANY,Texas,11755,,,,,,,,,No,,,,,
74,Reliance Standard Life Insurance Company,South Dakota,11782,,,,,,,,,No,0.0,0.0,,,
75,Illinois Mutual Life Insurance Company,Oklahoma,11838,,,,,,,,,No,,,,,
76,American Family Mutual Insurance Company,Missouri,11844,122.0,,,,,,,,No,58574.0,45383.0,0.0,,
77,Globe Life and Accident Insurance Co,Montana,11883,,,,,,,,,No,0.0,0.0,,,
78,American Family Mutual Insurance Company,Nebraska,12005,36.0,,,,,,,,No,3289.0,-12.0,0.0,,
79,Innovation Health Insurance Company,Virginia,12028,458023.0,120595.0,9715649.28,-9421914.58,2094829.83,"$9,720,705.61 ","($9,421,914.58)","$2,094,829.83 ",No,135670900.6,118565881.9,30316266.29,1004857.88,2952.94
80,American National Insurance Company,California,12074,178.0,,,,,,,,No,53779.19,156321.1153,,,
81,San Mateo Health Commission,California,12318,,,,,,,,,Yes,0.0,0.0,,,
82,TransAmerica Premier Life Insurance,Iowa,12332,,,,,,,,,No,0.0,0.0,,,
83,Standard Security Life Insurance Company of New York,Missouri,12363,,17.0,,,-4619.2,N/E,$-,"($4,617.80)",No,0.0,0.0,,,
84,AMERICAN FIDELITY ASSURANCE COMPANY,Ohio,12409,,,,,,,,,No,,,,,
85,Nippon Life Insurance Company of America,Georgia,12442,,3505.0,,,128961.93,N/E,$-,"$130,774.07 ",No,,,,,
86,"Madison National Life Insurance Company, Inc.",Wisconsin,12509,,,,,,,,,No,0.0,0.0,,,
87,Medical Benefits Mutual Life Insurance Co.,Ohio,12512,,3125.0,,,,N/E,$-,"($523,658.60)",No,,,,,
88,The United States Life Ins. Co. in the City of New York,Florida,12541,112134.0,,,,,,,,No,3494419.0,2614511.0,0.0,0.0,0.0
89,New York Life Insurance Company,Indiana,12595,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-51277.0,0.0,0.0,0.0
90,American Heritage Life Insurance Company,Texas,12621,,,,,,,,,No,0.0,0.0,,,
91,United American Insurance Co,Minnesota,12627,,,,,,,,,No,0.0,0.0,,,
92,Wisconsin Physicians Services Insurance Corporation,Illinois,12659,,189.0,,,0.0,,,,Yes,0.0,0.0,,,
93,Celtic Insurance Company,Vermont,12666,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
94,"Union Health Service, Inc.",Illinois,12690,,,,,,,,,Yes,,,,,
95,Connecticut General Life Insurance Company,Oklahoma,12693,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-1.0,0.0,0.0,0.0
