Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
"Health Care Service Corporation, a Mutual Legal Reserve Company",Texas,33602,11485974,8594675,636679179,38571557.86,11386899.21,636984705.00,38571557.86,11386899.21,Yes,55.43,55.46,3.36,3.36,1.32,1.32,0.03,0.00,0.00
"Kaiser Foundation Health Plan, Inc.",California,40513,7551901,8079938,193562111,-82078859,-86670688,193662847.01,-82078859.73,-86677086.30,Yes,25.63,25.64,-10.87,-10.87,-10.73,-10.73,0.01,0.00,0.00
"Oxford Health Insurance, Inc.",New York,85629,175060,4079290,0,2034110.89,203706368.3,N/E,$-,315374419.88,No,0.00,#VALUE!,11.62,#VALUE!,49.94,77.31,#VALUE!,#VALUE!,27.37
"Health Care Service Corporation, a Mutual Legal Reserve Company",Illinois,36096,6478135,4030984,283480714,17399841,8947232,283514429.00,23056950.67,10877027.26,Yes,43.76,43.76,2.69,3.56,2.22,2.70,0.01,0.87,0.48
Blue Cross of California,California,27603,7358067,3947887,324961807.8,-26380560.05,98215060.29,324481782.24,-26380560.05,98210694.17,No,44.16,44.10,-3.59,-3.59,24.88,24.88,-0.07,0.00,0.00
Community Insurance Company,Ohio,29276,941870,3304314,18997897.59,19027175.55,14407578.76,19003555.17,19027175.55,14407578.76,No,20.17,20.18,20.20,20.20,4.36,4.36,0.01,0.00,0.00
"Horizon Healthcare Services, Inc.",New Jersey,91661,2105500,3205623,85519013,-62882998,36636642,85563520.22,-62882998.27,36636642.31,Yes,40.62,40.64,-29.87,-29.87,11.43,11.43,0.02,0.00,0.00
Blue Cross and Blue Shield of Alabama,Alabama,46944,2535110,2748598,96795298,13434647,1891994,96845673.52,13434646.95,1891994.10,Yes,38.18,38.20,5.30,5.30,0.69,0.69,0.02,0.00,0.00
Medical Mutual of Ohio,Ohio,80627,1180859,2665189,28191766.43,6545046.13,4026922.8,28206438.29,6545046.13,4026922.80,No,23.87,23.89,5.54,5.54,1.51,1.51,0.01,0.00,0.00
UnitedHealthcare Insurance Company,Texas,98809,20042,2517196,0,-181402.12,1077528.17,N/E,$-,896126.05,No,0.00,#VALUE!,-9.05,#VALUE!,0.43,0.36,#VALUE!,#VALUE!,-0.07
"BlueCross BlueShield of Tennessee, Inc.",Tennessee,14002,2916902,2375943,125208363,22571331,5242634,125248679.99,22571330.93,5242633.55,Yes,42.93,42.94,7.74,7.74,2.21,2.21,0.01,0.00,0.00
"Blue Cross and Blue Shield of Massachusetts HMO Blue, Inc.",Massachusetts,42690,592588,2375271,35227619.21,8067126,33479849,35245952.75,N/A_MA_Issuer,N/A_MA_Issuer,Yes,59.45,59.48,13.61,#VALUE!,14.10,#VALUE!,0.03,#VALUE!,#VALUE!
California Physicians Service,California,70285,6984408,2367193,282181733,181516599,19826490,282147399.11,181516598.98,19822043.90,Yes,40.40,40.40,25.99,25.99,8.38,8.37,0.00,0.00,0.00
"Excellus Health Plan, Inc",New York,78124,334217,2172610,20299131.47,39045850.4,-2719871.69,20303711.74,44746473.20,-2719871.69,Yes,60.74,60.75,116.83,133.88,-1.25,-1.25,0.01,17.06,0.00
Blue Cross Blue Shield of Michigan Mutual Insurance Company,Michigan,15560,1553522,2089156,79260623.26,79246388.6,10801181.83,79301872.92,84043000.54,11876518.15,Yes,51.02,51.05,51.01,54.10,5.17,5.68,0.03,3.09,0.51
"Blue Cross and Blue Shield of Florida, Inc.",Florida,16842,6204216,2084681,203599485,368933331,8102147,203698387.46,368933330.53,8102147.17,No,32.82,32.83,59.46,59.46,3.89,3.89,0.02,0.00,0.00
Blue Cross and Blue Shield of North Carolina,North Carolina,11512,6595736,1960188,222501830,67566338,15759734,222234005.55,67566338.19,15759733.78,Yes,33.73,33.69,10.24,10.24,8.04,8.04,-0.04,0.00,0.00
Louisiana Health Service and Indemnity Company,Louisiana,97176,1471589,1880339,59732789.29,65621568.01,7790375.69,59752232.01,67544981.11,7830648.73,Yes,40.59,40.60,44.59,45.90,4.14,4.16,0.01,1.31,0.02
Blue Shield of California Life & Health Insurance Company,California,80046,594719,1833113,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CareFirst BlueChoice, Inc.",Maryland,28137,1994245,1797148,59853999.66,-16434375.81,6517476.14,59885149.52,-16434375.57,6517475.95,No,30.01,30.03,-8.24,-8.24,3.63,3.63,0.02,0.00,0.00
"Health Net of California, Inc",California,67138,2736915,1788573,41878401.12,-125635856,-9524829,41900195.93,-125635855.94,-9525637.47,No,15.30,15.31,-45.90,-45.90,-5.33,-5.33,0.01,0.00,0.00
"Anthem Insurance Companies, Inc.",Indiana,17575,1348881,1731779,57438446.51,-13429318.84,7055751.04,57453698.83,-13429318.84,6782799.40,No,42.58,42.59,-9.96,-9.96,4.07,3.92,0.01,0.00,-0.16
Premera Blue Cross,Washington,49831,1100658,1667756,60139891,18747955,-16440582,60171189.80,18747955.38,-16440582.27,Yes,54.64,54.67,17.03,17.03,-9.86,-9.86,0.03,0.00,0.00
"UPMC Health Options, Inc.",Pennsylvania,16322,630940,1517618,17827409,-3105783,4876751.003,17829957.20,-3105783.44,5913428.11,No,28.26,28.26,-4.92,-4.92,3.21,3.90,0.00,0.00,0.68
"Health Care Service Corporation, a Mutual Legal Reserve Company",Oklahoma,87571,2028437,1475972,84195768,-2631957,4445556,84233897.40,-4417436.82,4443491.14,Yes,41.51,41.53,-1.30,-2.18,3.01,3.01,0.02,-0.88,0.00
