,Company Name_x,State_x,HIOS ID,MM Individual_x,MM Small Group_x,Expected Reinsurance_x,Expected Risk Adjustment Individual_x,Expected Risk Adjustment Small Group_x,Actual Reinsurance_x,Actual Risk Adjustment Individual_x,Actual Risk Adjustment Small Group_x,Nonprofit_x,Expected Reinsurance Per Member Month_x,Actual Reinsurance Per Member Month_x,Expected Risk Adjustment Per Member Month Individual_x,Actual Risk Adjustment Per Member Month Individual_x,Expected Risk Adjustment Per Member Month Small Group_x,Actual Risk Adjustment Per Member Month Small Group_x,Difference in Reinsurance Per Member Month_x,Difference in Risk Adjustment Individual Per Member Month_x,Difference in Risk Adjustment Small Group Per Member Month_x,Total Loss 2014,Company Name_y,State_y,MM Individual_y,MM Small Group_y,Expected Reinsurance_y,Expected Risk Adjustment Individual_y,Expected Risk Adjustment Small Group_y,Actual Reinsurance_y,Actual Risk Adjustment Individual_y,Actual Risk Adjustment Small Group_y,Nonprofit_y,Expected Reinsurance Per Member Month_y,Actual Reinsurance Per Member Month_y,Expected Risk Adjustment Per Member Month Individual_y,Actual Risk Adjustment Per Member Month Individual_y,Expected Risk Adjustment Per Member Month Small Group_y,Actual Risk Adjustment Per Member Month Small Group_y,Difference in Reinsurance Per Member Month_y,Difference in Risk Adjustment Individual Per Member Month_y,Difference in Risk Adjustment Small Group Per Member Month_y
0,"Health Care Service Corporation, a Mutual Legal Reserve Company",Texas,33602.0,9694097.0,8623746.0,549029026.7,-17907614.72,16170226.21,549029026.7,-17907614.72,16110806.25,Yes,56.64,56.64,-1.85,-1.85,1.88,1.87,0.0,0.0,-0.01,547232218.2,"Health Care Service Corporation, a Mutual Legal Reserve Company",Texas,11485974.0,8594675.0,636679179.0,38571557.86,11386899.21,636984705.0,38571557.86,11386899.21,Yes,55.43,55.46,3.36,3.36,1.32,1.32,0.03,0.0,0.0
1,"Kaiser Foundation Health Plan, Inc.",California,40513.0,5935591.0,7801104.0,240031291.0,98847999.0,-5884033.0,240031290.8,98811448.39,-6119361.66,Yes,40.44,40.44,16.65,16.65,-0.75,-0.78,0.0,-0.01,-0.03,332723377.6,"Kaiser Foundation Health Plan, Inc.",California,7551901.0,8079938.0,193562111.0,-82078859.0,-86670688.0,193662847.01,-82078859.73,-86677086.3,Yes,25.63,25.64,-10.87,-10.87,-10.73,-10.73,0.01,0.0,0.0
2,"Oxford Health Insurance, Inc.",New York,85629.0,247763.0,4746318.0,0.0,613387.77,147304492.3,,,145248013.8,No,0.0,,2.48,,31.04,30.6,,,-0.43,,"Oxford Health Insurance, Inc.",New York,175060.0,4079290.0,0.0,2034110.89,203706368.3,,,315374419.88,No,0.0,,11.62,,49.94,77.31,,,27.37
3,"Horizon Healthcare Services, Inc.",New Jersey,91661.0,1725900.0,4342240.0,68139576.0,-9536368.0,10604745.0,68139576.15,-9536368.03,10604745.48,Yes,39.48,39.48,-5.53,-5.53,2.44,2.44,0.0,0.0,0.0,69207953.6,"Horizon Healthcare Services, Inc.",New Jersey,2105500.0,3205623.0,85519013.0,-62882998.0,36636642.0,85563520.22,-62882998.27,36636642.31,Yes,40.62,40.64,-29.87,-29.87,11.43,11.43,0.02,0.0,0.0
4,Blue Cross of California,California,27603.0,6902480.0,4307547.0,401126393.3,-181649910.0,23488369.0,401126393.3,-181692588.0,23364909.92,No,58.11,58.11,-26.32,-26.32,5.45,5.42,0.0,-0.01,-0.03,242798715.2,Blue Cross of California,California,7358067.0,3947887.0,324961807.8,-26380560.05,98215060.29,324481782.24,-26380560.05,98210694.17,No,44.16,44.1,-3.59,-3.59,24.88,24.88,-0.07,0.0,0.0
5,"Health Care Service Corporation, a Mutual Legal Reserve Company",Illinois,36096.0,5537415.0,4156218.0,277754457.9,-10823647.68,4303605.47,277754457.9,-10823647.68,4303605.47,Yes,50.16,50.16,-1.95,-1.95,1.04,1.04,0.0,0.0,0.0,271234415.7,"Health Care Service Corporation, a Mutual Legal Reserve Company",Illinois,6478135.0,4030984.0,283480714.0,17399841.0,8947232.0,283514429.0,23056950.67,10877027.26,Yes,43.76,43.76,2.69,3.56,2.22,2.7,0.01,0.87,0.48
6,Community Insurance Company,Ohio,29276.0,1263641.0,3825043.0,29350337.76,4108228.0,7243844.0,29350337.77,4108227.93,7243843.64,No,23.23,23.23,3.25,3.25,1.89,1.89,0.0,0.0,0.0,40702409.34,Community Insurance Company,Ohio,941870.0,3304314.0,18997897.59,19027175.55,14407578.76,19003555.17,19027175.55,14407578.76,No,20.17,20.18,20.2,20.2,4.36,4.36,0.01,0.0,0.0
7,Blue Cross and Blue Shield of Alabama,Alabama,46944.0,2190059.0,3172685.0,97314735.0,993113.0,1551403.0,97314734.65,993113.39,1551403.36,Yes,44.43,44.43,0.45,0.45,0.49,0.49,0.0,0.0,0.0,99859251.4,Blue Cross and Blue Shield of Alabama,Alabama,2535110.0,2748598.0,96795298.0,13434647.0,1891994.0,96845673.52,13434646.95,1891994.1,Yes,38.18,38.2,5.3,5.3,0.69,0.69,0.02,0.0,0.0
8,Blue Shield of California Life & Health Insurance Company,California,80046.0,836284.0,3090890.0,,,,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Blue Shield of California Life & Health Insurance Company,California,594719.0,1833113.0,,,,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Medical Mutual of Ohio,Ohio,80627.0,1367356.0,3012271.0,36995018.15,9369568.4,1218033.0,36995018.15,9369568.4,1218032.8,No,27.06,27.06,6.85,6.85,0.4,0.4,0.0,0.0,0.0,47582619.35,Medical Mutual of Ohio,Ohio,1180859.0,2665189.0,28191766.43,6545046.13,4026922.8,28206438.29,6545046.13,4026922.8,No,23.87,23.89,5.54,5.54,1.51,1.51,0.01,0.0,0.0
