Column	Mean2014	Mean2015	Median2014	Median2015	Std2014	Std2015	Min2014	Min2015	Max2014	Max2015	Sum2014	Sum2015
MM Individual	81228.65311533363	110820.83463745436	216.0	296.0	438214.3219318751	546530.9985007626	0.0	0.0	9694097.0	11485974.0	183820442.0	212443540.0
MM Small Group	125045.95792880259	137340.75309597523	561.0	894.0	494421.59717000637	504339.6410029636	0.0	0.0	8623746.0	8594675.0	193196005.0	177444253.0
Expected Reinsurance	4866935.3453283785	5938043.616373677	0.0	0.0	26312095.86629803	28084490.887964003	-265035.1	0.0	549029026.7	636679179.0	7855233647.3600025	7850093660.846001
Expected Risk Adjustment Individual	-21646.377902965683	-38515.50698294929	0.0	0.0	11197615.221981104	17472438.02481887	-181649910.0	-218903904.1	195610300.2	368933331.0	-35911340.94102007	-51957418.9199986
Expected Risk Adjustment Small Group	5440.087124518938	-124924.28166278105	0.0	0.0	5235957.386558496	9628927.506724235	-61490126.11	-153842015.4	147304492.3	203706368.3	7632442.235700071	-150034062.27700004
Actual Reinsurance	16424927.94078061	13808870.89358287	2893429.46	2414167.19	46505094.5658732	41789125.64718697	0.0	0.0	549029026.67	636984705.0	7785415843.930009	7746776571.29999
Actual Risk Adjustment Individual	-11429.01659388636	142675.3889443363	71612.47	1509.65	21906792.977200814	27963781.790093224	-181692588.01	-218903904.11	221628751.9	368933330.53	-5234489.599999952	74333877.63999921
Actual Risk Adjustment Small Group	-20205.994586709683	-3884.66930015613	-49499.07	-76811.45	7546163.753924201	16119196.832315803	-62207250.53	-153842015.39	145248013.8	315374419.88	-12467098.659999873	-2497842.3600003915
Expected Reinsurance Per Member Month	17.712815126050405	22.226315789473677	0.0	0.0	58.15428556682607	175.51422268546827	-565.9	0.0	940.64	6258.07	29509.549999999974	33361.69999999999
Actual Reinsurance Per Member Month	20.562224489795906	24.672213114754076	0.0	0.0	59.73567290640087	185.55008694753963	0.0	0.0	940.64	6261.33	30226.469999999983	33110.10999999997
Expected Risk Adjustment Per Member Month Individual	5.924249699879953	8.602571618920726	0.0	0.0	87.6357705605924	203.02982634919042	-551.79	-1557.35	2292.67	6120.33	9869.800000000001	12912.460000000008
Actual Risk Adjustment Per Member Month Individual	8.041683848797254	12.121727272727275	0.0	0.0	93.01339464548184	204.72673162510262	-551.79	-600.91	2292.68	6120.33	11700.650000000005	16000.680000000004
Expected Risk Adjustment Per Member Month Small Group	-6.032989010989016	-17.896060606060605	0.0	-1.17	44.94611507775667	89.96170525577692	-281.08	-1087.95	794.27	584.61	-5490.020000000004	-14173.68
Actual Risk Adjustment Per Member Month Small Group	-6.184388571428576	-18.73745072273324	0.0	-1.57	46.97458205951146	92.77472109656418	-392.79	-1087.95	794.27	584.61	-5411.340000000004	-14259.199999999995
Difference in Reinsurance Per Member Month	0.48774149659863947	-0.17134873323397895	0.0	0.0	19.3075080135207	3.232458893586509	-79.53	-56.94	705.1	32.11	716.98	-229.94999999999976
Difference in Risk Adjustment Individual Per Member Month	0.03410309278350507	1.257340909090909	0.0	0.0	9.177297890137796	21.13951268688122	-181.79	-127.21	122.63	641.58	49.61999999999988	1659.6899999999998
Difference in Risk Adjustment Small Group Per Member Month	-0.4179085714285715	-0.37247043363994764	0.0	0.0	14.719777425341258	16.884387749586935	-392.79	-333.48	114.1	161.92	-365.6700000000001	-283.45000000000016
