2015RiskAdj,2014RiskAdj,2015RiskAdjNo0,2014RiskAdjNo0
6120.333333,28.65120758,6120.333333,28.65120758
2323.088068,1582.359307,2323.088068,1582.359307
1745.474775,916.8567391,1745.474775,916.8567391
1559.612099,49.64368771,1559.612099,49.64368771
710.6279193,346.6009615,710.6279193,346.6009615
682.6422222,0,682.6422222,0
632.5916667,-36.70172652,632.5916667,-36.70172652
597.8348763,409.4643566,597.8348763,409.4643566
548.19,319.0247826,548.19,319.0247826
545.2620581,436.5517553,545.2620581,436.5517553
476.4950064,243.0762108,476.4950064,243.0762108
438.1288144,372.0544031,438.1288144,372.0544031
338.7713953,23.7875,338.7713953,23.7875
280.9564733,-0.830775525,280.9564733,-0.830775525
268.0369293,236.9033081,268.0369293,236.9033081
267.6544233,-103.8794643,267.6544233,-103.8794643
242.6577917,-122.6331878,242.6577917,-122.6331878
242.2847578,115.6633722,242.2847578,115.6633722
242.0082919,378.2233503,242.0082919,378.2233503
239.7451934,0,239.7451934,0
231.6549194,78.50898204,231.6549194,78.50898204
204.900255,259.021296,204.900255,259.021296
203.1907817,-6.083223075,203.1907817,-6.083223075
196.8725169,-51.94764398,196.8725169,-51.94764398
195.6486486,45.50546249,195.6486486,45.50546249
178.4110873,72.68292937,178.4110873,72.68292937
170.0610256,140.3072727,170.0610256,140.3072727
156.6983878,112.9815083,156.6983878,112.9815083
148.5378472,-185.0472441,148.5378472,-185.0472441
148.4977318,164.9404933,148.4977318,164.9404933
147.4653669,85.76106138,147.4653669,85.76106138
146.0191385,65.37444281,146.0191385,65.37444281
144.8133163,98.42157764,144.8133163,98.42157764
143.28375,0,143.28375,0
141.9159936,-123.7593037,141.9159936,-123.7593037
137.5503324,184.5940309,137.5503324,184.5940309
134.4892961,185.5146417,134.4892961,185.5146417
124.3692855,0,124.3692855,0
123.3305955,80.44678523,123.3305955,80.44678523
122.0761852,0,122.0761852,0
120.349325,80.20025708,120.349325,80.20025708
119.4661111,50.56933333,119.4661111,50.56933333
118.9658369,22.36461295,118.9658369,22.36461295
116.8278406,108.5060943,116.8278406,108.5060943
112.4077533,41.07120436,112.4077533,41.07120436
112.3055186,268.6569844,112.3055186,268.6569844
110.2166667,125.6155932,110.2166667,125.6155932
109.3355007,-54.55075758,109.3355007,-54.55075758
108.5358383,36.94427671,108.5358383,36.94427671
107.6277306,187.5534712,107.6277306,187.5534712
106.3949426,76.54966331,106.3949426,76.54966331
102.4238172,48.08725936,102.4238172,48.08725936
102.1473708,98.76965316,102.1473708,98.76965316
99.79888418,3.997386159,99.79888418,3.997386159
98.78417163,0,98.78417163,0
96.76006803,0,96.76006803,0
96.21226139,0,96.21226139,0
95.08854228,-7.241975712,95.08854228,-7.241975712
90.13603906,76.83784017,90.13603906,76.83784017
89.60983789,123.0974628,89.60983789,123.0974628
89.49884734,119.627544,89.49884734,119.627544
89.18913171,181.6057648,89.18913171,181.6057648
88.56657447,162.0081588,88.56657447,162.0081588
87.83566652,55.2227018,87.83566652,55.2227018
87.37745,26.08174387,87.37745,26.08174387
86.42332885,119.3484556,86.42332885,119.3484556
86.20875449,39.4297453,86.20875449,39.4297453
83.9064228,90.61826479,83.9064228,90.61826479
82.93915933,60.85382456,82.93915933,60.85382456
81.32966433,-3.418652811,81.32966433,-3.418652811
80.03132488,13.19620623,80.03132488,13.19620623
79.91486452,107.7429166,79.91486452,107.7429166
79.81983978,53.46783306,79.81983978,53.46783306
79.48349515,45.36991718,79.48349515,45.36991718
78.11266601,0,78.11266601,0
77.45043182,0,77.45043182,0
76.65731653,120.2591578,76.65731653,120.2591578
75.03069982,139.8125146,75.03069982,139.8125146
74.68422295,51.65884991,74.68422295,51.65884991
73.58572099,32.69441487,73.58572099,32.69441487
73.18321271,6.160233421,73.18321271,6.160233421
71.41103731,53.09407839,71.41103731,53.09407839
70.42543234,-31.98023908,70.42543234,-31.98023908
67.65374383,24.5278114,67.65374383,24.5278114
65.78841526,-5.653342455,65.78841526,-5.653342455
65.34656265,69.9356836,65.34656265,69.9356836
65.22329385,45.87650764,65.22329385,45.87650764
64.61741016,322.2683742,64.61741016,322.2683742
64.3662526,0.00122422,64.3662526,0.00122422
62.52788031,112.2043478,62.52788031,112.2043478
62.46795411,95.10888468,62.46795411,95.10888468
60.54963023,-28.31263251,60.54963023,-28.31263251
59.86809646,24.8145468,59.86809646,24.8145468
59.46493981,32.89260796,59.46493981,32.89260796
59.00416935,3.517454985,59.00416935,3.517454985
58.58459844,19.25399837,58.58459844,19.25399837
57.11030965,32.81021289,57.11030965,32.81021289
54.23345545,1.51694517,54.23345545,1.51694517
52.93266129,2.050081766,52.93266129,2.050081766
52.23373007,0,52.23373007,0
52.18876071,56.28180415,52.18876071,56.28180415
52.1837159,0.623884555,52.1837159,0.623884555
51.68484575,90.58361007,51.68484575,90.58361007
51.42465782,29.37599477,51.42465782,29.37599477
51.21082516,467.4656085,51.21082516,467.4656085
51.02187423,14.8863266,51.02187423,14.8863266
51.01079264,32.81304725,51.01079264,32.81304725
50.30826366,8.135248347,50.30826366,8.135248347
50.10885736,32.02224972,50.10885736,32.02224972
47.4317764,15.69055951,47.4317764,15.69055951
46.65850359,51.40036806,46.65850359,51.40036806
46.16217669,8.034526923,46.16217669,8.034526923
46.00832957,58.81178947,46.00832957,58.81178947
45.99723796,4.906334087,45.99723796,4.906334087
45.81637427,-3.025817308,45.81637427,-3.025817308
45.03897513,35.28456589,45.03897513,35.28456589
44.61569967,24.47197767,44.61569967,24.47197767
44.59232028,13.78776331,44.59232028,13.78776331
44.55334806,19.68646853,44.55334806,19.68646853
43.97228852,12.03628233,43.97228852,12.03628233
43.81658375,42.46386551,43.81658375,42.46386551
43.27883237,20.53890678,43.27883237,20.53890678
43.15000288,20.71869516,43.15000288,20.71869516
42.7233977,-0.617854188,42.7233977,-0.617854188
42.490776,85.33811802,42.490776,85.33811802
42.24243844,154.7536244,42.24243844,154.7536244
41.68379502,24.34364749,41.68379502,24.34364749
41.35413333,0,41.35413333,0
41.12678437,104.7478273,41.12678437,104.7478273
40.88090185,32.93720144,40.88090185,32.93720144
40.46581143,10.52902376,40.46581143,10.52902376
39.25171829,2.72841533,39.25171829,2.72841533
39.03624677,-16.0264557,39.03624677,-16.0264557
39.01516801,19.59203036,39.01516801,19.59203036
39.00607591,43.7061574,39.00607591,43.7061574
38.3599792,-16.44053801,38.3599792,-16.44053801
36.97825312,24.89858785,36.97825312,24.89858785
36.56866618,0.608084425,36.56866618,0.608084425
36.50107175,-2.188222471,36.50107175,-2.188222471
35.60289889,27.08195736,35.60289889,27.08195736
35.54680332,16.65769447,35.54680332,16.65769447
35.40668427,26.46156558,35.40668427,26.46156558
35.14971092,13.46473412,35.14971092,13.46473412
34.4901227,21.47681505,34.4901227,21.47681505
34.21549753,10.2332819,34.21549753,10.2332819
33.6004851,11.51047821,33.6004851,11.51047821
33.16668063,39.80433523,33.16668063,39.80433523
32.4967389,1.305232572,32.4967389,1.305232572
32.25842212,-5.440686682,32.25842212,-5.440686682
31.62741545,36.94048893,31.62741545,36.94048893
31.49865869,21.62678975,31.49865869,21.62678975
31.40712049,28.62888025,31.40712049,28.62888025
31.4000378,-17.63293016,31.4000378,-17.63293016
31.16323292,30.97390534,31.16323292,30.97390534
30.9182453,40.22091048,30.9182453,40.22091048
30.4113473,216.4293086,30.4113473,216.4293086
29.95651728,39.9935839,29.95651728,39.9935839
29.81413683,0,29.81413683,0
29.41847353,39.75593935,29.41847353,39.75593935
28.73256716,74.06569892,28.73256716,74.06569892
28.70547546,3.355228758,28.70547546,3.355228758
28.50885752,22.97532855,28.50885752,22.97532855
27.08028649,-0.861616162,27.08028649,-0.861616162
26.74639729,3.179850338,26.74639729,3.179850338
26.52533127,11.05366063,26.52533127,11.05366063
26.31542644,-9.254991287,26.31542644,-9.254991287
25.98883098,23.52881025,25.98883098,23.52881025
25.95871761,11.84026461,25.95871761,11.84026461
25.57600072,44.34666298,25.57600072,44.34666298
25.36953544,107.6579805,25.36953544,107.6579805
24.89777786,50.11003435,24.89777786,50.11003435
24.7920892,206.1698194,24.7920892,206.1698194
24.67625333,32.88338446,24.67625333,32.88338446
24.4248321,-20.83511339,24.4248321,-20.83511339
24.37690908,34.59905455,24.37690908,34.59905455
23.30596047,1.102498785,23.30596047,1.102498785
22.085,0,22.085,0
21.48183352,-37.77815215,21.48183352,-37.77815215
20.40091937,38.44885248,20.40091937,38.44885248
20.38735526,0,20.38735526,0
20.3556703,10.92378825,20.3556703,10.92378825
20.20148805,3.251103755,20.20148805,3.251103755
20.1896326,170.2449267,20.1896326,170.2449267
19.9128165,0.022569034,19.9128165,0.022569034
19.18374971,27.43183188,19.18374971,27.43183188
18.8624765,5.857158774,18.8624765,5.857158774
18.1877419,5.637297702,18.1877419,5.637297702
18.00723189,3.816876315,18.00723189,3.816876315
17.82240506,-158.7235514,17.82240506,-158.7235514
17.8049121,11.09141976,17.8049121,11.09141976
17.56751211,-12.07545372,17.56751211,-12.07545372
17.38392866,7.195621325,17.38392866,7.195621325
17.34684343,16.42296561,17.34684343,16.42296561
17.22355713,4.55576389,17.22355713,4.55576389
17.03340638,-7.966101088,17.03340638,-7.966101088
16.43989386,22.29475272,16.43989386,22.29475272
16.42526427,-9.271370638,16.42526427,-9.271370638
16.39705589,0,16.39705589,0
16.2020087,-0.548348348,16.2020087,-0.548348348
15.99175069,-10.90952248,15.99175069,-10.90952248
15.4980702,-71.69977762,15.4980702,-71.69977762
15.47497578,0,15.47497578,0
15.30853523,55.51754758,15.30853523,55.51754758
14.43688297,0,14.43688297,0
14.24980163,-0.216572505,14.24980163,-0.216572505
13.79986431,7.757032503,13.79986431,7.757032503
13.61338063,21.7092758,13.61338063,21.7092758
13.31647481,-0.054619103,13.31647481,-0.054619103
12.52828573,2.190593126,12.52828573,2.190593126
12.15883747,-1.636378324,12.15883747,-1.636378324
12.15209572,5.292399908,12.15209572,5.292399908
12.01444484,4.825922465,12.01444484,4.825922465
11.96212184,0,11.96212184,0
11.81186183,4.160507503,11.81186183,4.160507503
11.79185428,3.58907605,11.79185428,3.58907605
11.61950697,2.475703676,11.61950697,2.475703676
11.58835974,2.921823126,11.58835974,2.921823126
10.98706173,5.865357823,10.98706173,5.865357823
10.94314187,22.29357857,10.94314187,22.29357857
10.50773062,30.91789933,10.50773062,30.91789933
10.24394215,3.491715024,10.24394215,3.491715024
10.21639905,-0.96855741,10.21639905,-0.96855741
10.15854147,6.145469239,10.15854147,6.145469239
10.14571163,-20.7994338,10.14571163,-20.7994338
10.08936969,0,10.08936969,0
9.967187245,-2.5498312,9.967187245,-2.5498312
9.963937367,2.742735323,9.963937367,2.742735323
9.941700799,100.3649415,9.941700799,100.3649415
9.71847383,18.48844424,9.71847383,18.48844424
9.682197097,1.389486921,9.682197097,1.389486921
9.303939479,0,9.303939479,0
8.931582862,6.464854311,8.931582862,6.464854311
8.601041009,0,8.601041009,0
8.590076726,-4.099017312,8.590076726,-4.099017312
8.45526885,29.11599677,8.45526885,29.11599677
8.448349978,7.10467798,8.448349978,7.10467798
7.935390458,1.034658841,7.935390458,1.034658841
7.738117702,-0.725604194,7.738117702,-0.725604194
7.463964497,-65.49381605,7.463964497,-65.49381605
7.309211616,2.834779426,7.309211616,2.834779426
7.307993499,-25.89563924,7.307993499,-25.89563924
7.033067406,-4.417201903,7.033067406,-4.417201903
6.790767918,1.292924109,6.790767918,1.292924109
6.788846107,48.9991155,6.788846107,48.9991155
6.649132081,8.804387132,6.649132081,8.804387132
6.376051409,13.84980329,6.376051409,13.84980329
5.571405958,13.43641018,5.571405958,13.43641018
5.542614427,6.85232551,5.542614427,6.85232551
5.299433555,0.453464039,5.299433555,0.453464039
4.943994218,6.471334541,4.943994218,6.471334541
4.767996876,-45.94336679,4.767996876,-45.94336679
3.97659039,-2.458804678,3.97659039,-2.458804678
3.964049348,133.386378,3.964049348,133.386378
3.753985647,-12.80778072,3.753985647,-12.80778072
3.660962986,8.686727033,3.660962986,8.686727033
3.511258739,7.500586453,3.511258739,7.500586453
3.406429636,108.1289387,3.406429636,108.1289387
3.358144278,-1.847270016,3.358144278,-1.847270016
3.335024009,2.233085299,3.335024009,2.233085299
3.067048392,4.808342241,3.067048392,4.808342241
2.972296306,-0.107160486,2.972296306,-0.107160486
2.790111598,5.934907313,2.790111598,5.934907313
2.733450751,5.604586152,2.733450751,5.604586152
2.685933683,-1.954639065,2.685933683,-1.954639065
2.457754901,1.500644245,2.457754901,1.500644245
2.379943932,-0.076049028,2.379943932,-0.076049028
2.334149755,58.233687,2.334149755,58.233687
2.125675245,0,2.125675245,0
2.114748322,-1.823739416,2.114748322,-1.823739416
2.109366837,-0.59362399,2.109366837,-0.59362399
2.08326461,0.923819334,2.08326461,0.923819334
2.026332811,11.90831085,2.026332811,11.90831085
1.995951793,1.710190855,1.995951793,1.710190855
1.623466424,8.109087321,1.623466424,8.109087321
1.46291489,3.28492342,1.46291489,3.28492342
0.798134295,-8.185439083,0.798134295,-8.185439083
0.698211194,0,0.698211194,0
0.672978631,-5.018282248,0.672978631,-5.018282248
0.643736651,-16.02524385,0.643736651,-16.02524385
0.491457014,-90.68228607,0.491457014,-90.68228607
0.43552445,-13.61934446,0.43552445,-13.61934446
0.36259042,-0.169992019,0.36259042,-0.169992019
0.140045435,7.186846315,0.140045435,7.186846315
0,-42.24939769,0,-42.24939769
0,-2.075185185,0,-2.075185185
0,0,0,0.70384243
0,0,0,45.77774792
0,0,0,96.47872996
0,0,-0.139928239,0.343165942
0,0,-0.191476884,0
0,0,-0.555927077,1.874391606
0,0,-0.59587552,0
0,0,-0.881022738,9.391364794
0,0,-1.297529576,-0.596608956
0,0,-1.824053355,3.010803569
0,0,-1.950217797,56.2108447
0,0,-2.206048519,-14.91421873
0,0,-2.39409815,34.95263829
0,0,-2.499683538,0
0,0,-2.618978156,-1.806696715
0,0,-3.105735489,-5.186174323
0,0,-3.167916667,3.4770819
0,0,-3.230572815,115.7905242
0,0,-3.478847346,-11.48837209
0,0,-3.585256841,-26.31661519
0,0,-3.743823648,-10.86836972
0,0,-3.758476331,-0.243013366
0,0,-3.773488556,-13.34739185
0,0,-3.949981812,26.86904465
0,0,-4.076342221,0
0,0,-4.817647913,12.97033283
0,0,-4.922469648,-0.466232129
0,0,-5.037375415,-21.06216931
0,0,-5.055807736,-6.935151195
0,0,-5.485502458,38.01818787
0,0,-5.901705607,0
0,0,-5.956450263,-13.06002986
0,0,-6.585047589,5.451754563
0,0,-6.598084103,-32.18138493
0,0,-6.664849128,7.145693558
0,0,-6.728893651,-7.174165396
0,0,-6.795959459,-4.162068966
0,0,-6.881136704,1.741630355
0,0,-7.387936258,-3.901391651
0,0,-7.415440586,-85.69239044
0,0,-7.548648649,1.255806748
0,0,-7.981511259,-40.69988078
0,0,-8.240901098,-12.04864306
0,0,-8.276530709,-0.033260573
0,0,-8.470246876,-9.505981848
0,0,-8.566069433,-12.48435901
0,0,-8.587920384,-1.901652687
