State,Plan,Age
AK,bronze,54
SD,platinum,32
NV,catastrophic,42
GA,catastrophic,54
KY,bronze,63
MO,gold,44
AK,platinum,43
MS,catastrophic,29
MD,bronze,43
RI,silver,49
LA,gold,40
RI,catastrophic,26
AZ,catastrophic,22
AL,bronze,56
NH,silver,55
OK,catastrophic,40
LA,bronze,43
CT,silver,57
ID,gold,51
GA,gold,51
IL,silver,55
TX,gold,67
FL,platinum,30
ID,bronze,40
WY,catastrophic,23
SD,catastrophic,44
OH,catastrophic,34
NY,silver,54
IA,platinum,51
IA,gold,24
IN,catastrophic,33
IL,platinum,39
MS,gold,65
TX,silver,46
NY,catastrophic,62
AZ,bronze,61
SC,catastrophic,66
ND,catastrophic,43
UT,bronze,50
GA,bronze,61
CT,bronze,39
AL,platinum,40
NE,bronze,25
MD,catastrophic,56
MI,silver,42
KS,silver,24
VA,silver,27
CT,gold,57
KY,silver,58
CT,silver,67
TN,silver,27
GA,catastrophic,28
AR,catastrophic,53
FL,platinum,25
RI,catastrophic,42
IA,catastrophic,67
KS,silver,61
WA,gold,59
NC,platinum,55
KS,catastrophic,67
SC,silver,51
GA,platinum,65
NH,gold,34
MD,gold,22
NM,catastrophic,65
UT,catastrophic,41
MA,platinum,31
KY,platinum,68
MT,platinum,36
MN,gold,46
AZ,silver,57
NM,silver,60
NM,silver,23
MO,bronze,43
NC,gold,50
FL,gold,35
OK,bronze,50
CO,silver,53
AR,bronze,23
AZ,silver,62
WI,bronze,38
AK,gold,37
NJ,catastrophic,53
WY,catastrophic,54
MT,platinum,22
DE,bronze,31
HI,bronze,49
NC,silver,21
AL,catastrophic,53
NM,gold,66
PA,platinum,61
NV,platinum,47
AZ,silver,52
MT,platinum,57
NH,catastrophic,52
WI,platinum,35
MA,gold,21
MA,bronze,23
NE,platinum,60
MT,platinum,67
NM,platinum,57
CO,platinum,39
GA,gold,35
LA,platinum,39
TN,platinum,59
AL,gold,42
NJ,silver,33
NV,silver,68
WI,gold,31
VA,gold,41
UT,bronze,37
MI,catastrophic,61
VA,catastrophic,56
HI,bronze,28
ND,bronze,68
CA,platinum,27
ND,bronze,29
HI,platinum,25
OK,bronze,54
AR,gold,21
RI,platinum,35
ME,platinum,62
UT,bronze,53
AZ,bronze,25
ND,gold,32
NJ,catastrophic,24
AK,silver,37
RI,bronze,45
RI,gold,49
KS,platinum,39
WY,catastrophic,48
ME,platinum,35
HI,platinum,30
ME,silver,52
NE,gold,54
HI,platinum,59
TN,catastrophic,58
MN,bronze,26
AZ,bronze,38
CT,bronze,66
NE,catastrophic,42
MO,catastrophic,63
AZ,bronze,58
VT,platinum,63
TN,silver,58
MN,silver,54
MD,silver,27
VT,bronze,21
CO,silver,42
AR,bronze,26
MO,silver,29
MA,platinum,34
OK,gold,51
HI,catastrophic,24
CT,bronze,61
AZ,bronze,57
MD,catastrophic,34
OR,silver,37
NJ,platinum,69
OK,gold,38
ME,silver,30
AK,platinum,56
IA,silver,37
AR,catastrophic,62
NE,catastrophic,68
HI,catastrophic,40
WV,silver,36
ME,platinum,57
CT,catastrophic,21
WY,silver,22
MD,bronze,34
WY,platinum,67
MD,catastrophic,23
RI,catastrophic,59
MT,bronze,39
TN,catastrophic,54
FL,bronze,49
WI,catastrophic,37
CO,silver,34
GA,catastrophic,66
MN,platinum,22
NE,platinum,35
HI,silver,59
LA,bronze,49
RI,bronze,54
NC,catastrophic,49
DE,platinum,23
UT,catastrophic,45
OK,catastrophic,28
VA,silver,55
WV,bronze,66
HI,silver,58
FL,platinum,32
WY,gold,51
PA,platinum,66
PA,catastrophic,28
HI,platinum,43
MT,platinum,64
MN,silver,41
